aptCode,aptManage,aptName_x,aptMemo,cityCode_x,citySidoName,citySggName,equipCode,equipName,chargeCode,chargeName,aptName_y,roadAddr1,roadAddr2,cityCode_y,hbgvCode,ctznCnt,regDate,xlatlng,ylatlng
W0J000,0,영등포구청,,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,,,,,,,,,
W0J001,1,태승훼미리(BM),주선기업,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,태승훼미리,서울 영등포구 선유서로34길 6,,,1156061000,68,2016-10-09 19:51:43,126.887243,37.5265187
W0J002,1,대우이안아파트(BM),주선기업,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,양평동 대우이안2,서울특별시 영등포구 선유로33길 18,"(양평동3가, 양평동 대우이안2)",,1156012700,239,2016-10-09 19:51:43,126.8889575,37.5270599
W0J003,1,드림리버빌(BM),경청산업,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,드림리버빌,,,,1156056000,72,2016-10-09 19:51:43,126.9080054258,37.5310705517
W0J004,1,강변래미안(BM),경청산업,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,강변래미안,서울 영등포구 버드나루로 130,,,1156056000,821,2016-10-09 19:51:43,126.9076157977,37.5302483699
W0J005,1,코오롱(BM),경청산업,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,코오롱,서울 영등포구 영등포로28길 5,,,1156055000,114,2016-10-09 19:51:43,126.899255174,37.5199577873
W0J006,1,당산푸르지오(BM),경청산업,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,당산푸르지오,서울 영등포구 영중로 154,,,1156053500,545,2016-10-09 19:51:43,126.9060606619,37.530826436
W0J007,1,삼익아파트(BM),경청산업,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,삼익아파트,서울 영등포구 국회대로 552,,,1156055000,181,2016-10-09 19:51:43,126.895092899,37.5281027728
W0J008,1,당산삼성래미안4차(BM),경청산업,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,당산삼성래미안4차,,,,1156056000,1426,2016-10-09 19:51:43,126.9077543865,37.5298975387
W0J009,1,반도유보라팰리스(BM),경청산업,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,반도유보라팰리스,서울 영등포구 국회대로 597,,,1156056000,307,2016-10-09 19:51:43,126.9007644996,37.5279153632
W0J011,1,반도보라빌(BM),경청산업,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,반도보라빌,서울 영등포구 당산로45길 7-3,,,1156056000,70,2016-10-09 19:51:43,126.9000505163,37.5336893859
W0J012,1,한강아파트(BM),경청산업,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,한강아파트,서울 영등포구 영신로57길 5,,,1156056000,273,2016-10-09 19:51:43,126.9023814044,37.5281038263
W0J013,1,당산현대5차아파트(BM),경청산업,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,당산현대5차아파트,서울 영등포구 당산로42길 16,,,1156056000,998,2016-10-09 19:51:43,126.8995143917,37.5299731035
W0J014,1,대림아파트(BM),동일환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,문래대림아파트,서울특별시 영등포구 선유로 33,"(문래동5가, 문래대림아파트)",,1156012300,206,2016-10-09 19:51:43,126.901940281,37.5153114289
W0J015,1,문래현대3차(BM),동일환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,현대3차아파트,서울특별시 영등포구 선유서로 6,"(문래동5가, 현대3차아파트)",,1156012300,171,2016-10-09 19:51:43,126.8842231,37.5162894
W0J017,1,대우메종리브르(BM),경청산업,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,대우메종리브르,서울 영등포구 영등포로 106,,,1156055000,547,2016-10-09 19:51:43,126.8928538944,37.5208894988
W0J018,1,동원데자뷰(BM),남서울환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,동원데자뷰(BM),,,,1156012100,57,2016-10-09 19:51:43,,
W0J019,1,문래현대5차(BM),동일환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,문래현대5차(BM),,,,1156012300,289,2016-10-09 19:51:43,,
W0J020,1,두산위브(BM),남서울환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,두산위브,서울 영등포구 신길로60나길 9,,,1156051500,278,2016-10-09 19:51:43,126.9121661029,37.5143171964
W0J021,1,현대프라자(BM),동진환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,현대프라자(BM),,,,1156010600,119,2016-10-09 19:51:43,,
W0J022,1,삼환나우빌아파트(BM),경청산업,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,삼환나우빌아파트,서울 영등포구 영중로 145,,,1156053500,520,2016-10-09 19:51:43,126.9046231946,37.5294130927
W0J023,1,서통한신아파트(BM),동일환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,서통한신아파트,서울 영등포구 영등포로12길 7,,,1156061000,170,2016-10-09 19:51:43,126.8877768896,37.5217736538
W0J024,1,경남아너스빌(BM),동일환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,경남아너스빌,서울 영등포구 선유로33길 22,,,1156061000,184,2016-10-09 19:51:43,126.888366002,37.5272388843
W0J025,1,문래자이(BM),남서울환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,문래자이,서울 영등포구 당산로4길 12,,,1156060500,1334,2016-10-09 19:51:43,126.894814523,37.5163297135
W0J026,1,영등포푸르지오(BM),남서울환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,영등포푸르지오,서울 영등포구 도신로29길 28,,,1156051500,2478,2016-10-09 19:51:43,126.9012793609,37.5116395788
W0J027,1,문래현대1차(BM),동일환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,문래현대1차(BM),,,,1156012400,271,2016-10-09 19:51:43,,
W0J028,1,미주프라자(BM),동일환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,미주프라자,서울 영등포구 선유로 49,,,1156060500,51,2016-10-09 19:51:43,126.8887445105,37.5182994538
W0J029,1,문래힐스테이트(BM),동일환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,문래힐스테이트,서울 영등포구 문래로 82,,,1156060500,819,2016-10-09 19:51:43,126.8898235296,37.5178092904
W0J030,1,삼호한숲(BM),주선기업,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,삼호한숲,서울 영등포구 선유로47길 34,,,1156062000,224,2016-10-09 19:51:43,126.8934603407,37.5368374804
W0J031,1,당산효성1차(BM),경청산업,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,당산효성1차,서울 영등포구 당산로42길 13,,,1156056000,485,2016-10-09 19:51:43,126.9011745895,37.5304141811
W0J032,1,쌍용예가클래식(BM),경청산업,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,쌍용예가클래식,서울 영등포구 당산로31길 32,,,1156055000,287,2016-10-09 19:51:43,126.8932401076,37.5276966745
W0J033,1,문래두산위브(BM),동일환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,문래두산위브(BM),,,,1156012300,387,2016-10-09 19:51:43,,
W0J034,1,도림청구(BM),한양산업,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,도림청구,서울 영등포구 도영로7길 7,,,1156011800,203,2016-10-09 19:51:43,126.8954033484,37.5092661324
W0J035,1,동아에코빌(BM),한양산업,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,동아에코빌,서울 영등포구 도림로 365,,,1156011800,349,2016-10-09 19:51:43,126.8982564227,37.50904635
W0J036,1,한라(BM),한양산업,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,한라,서울 영등포구 도신로15라길 5-7,,,1156011800,144,2016-10-09 19:51:43,126.8973834776,37.5078521146
W0J037,1,대림현대3차(BM),우성환경미화,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,대림현대3차,서울 영등포구 도신로 31,,,1156013300,1169,2016-10-09 19:51:43,126.8950383,37.505451
W0J038,1,대림현대2차(BM),우성환경:783-8928,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,대림현대2차,서울 영등포구 도신로4길 6,,,1156013300,283,2016-10-09 19:51:43,126.8942462548,37.5026352625
W0J039,1,문영칸타빌레(BM),우성환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,문영칸타빌레,서울 영등포구 도림천로 391,,,1156013300,135,2016-10-09 19:51:43,126.8970881985,37.489697342
W0J040,1,대림코오롱(BM),동진환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,대림코오롱,서울 영등포구 도영로 2-5,,,1156013300,484,2016-10-09 19:51:43,126.8944559806,37.5074856155
W0J041,1,대림3동성원(BM),동진환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,대림3동성원(BM),,,,1156013300,222,2016-10-09 19:51:43,,
W0J042,1,대림현대1차(BM),동진환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,대림현대1차(BM),,,,1156013300,479,2016-10-09 19:51:43,,
W0J043,1,대림신동아(BM),동진환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,대림신동아,서울 영등포구 가마산로 312,,,1156013300,594,2016-10-09 19:51:43,126.8943448288,37.4974349582
W0J044,1,대림성락(BM),동진환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,대림성락(BM),,,,1156013300,82,2016-10-09 19:51:43,,
W0J045,1,대림우성1차(BM),동진환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,대림우성1차(BM),,,,1156013300,439,2016-10-09 19:51:43,,
W0J046,1,대림우성2차(BM),동진환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,대림우성2차(BM),,,,1156013300,123,2016-10-09 19:51:43,,
W0J047,1,신대림한솔솔파크(BM),우성환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,신대림한솔솔파크,서울 영등포구 도림천로 431,,,1156013300,235,2016-10-09 19:51:43,126.8989611631,37.4874715242
W0J048,1,신대림자이(BM),우성환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,신대림자이,서울 영등포구 시흥대로173길 13,,,1156013300,414,2016-10-09 19:51:43,126.9022418859,37.4860009319
W0J049,1,대림무림,봉투,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,무림아파트,서울특별시 영등포구 시흥대로 609,"(대림동, 무림아파트)",,1156013300,110,2016-10-09 19:51:43,126.903528,37.487616
W0J050,1,대림현대(BM),우성환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,대림동현대아파트,서울특별시 영등포구 시흥대로187길 12,"(대림동, 대림동현대아파트)",,1156013300,220,2016-10-09 19:51:43,126.908222,37.4932134
W0J051,1,대림1동성원(BM),우성환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,대림1동성원,서울 영등포구 디지털로64길 15-9,,,1156013300,44,2016-10-09 19:51:43,126.9054800297,37.4927413839
W0J052,1,대림온누리(BM),우성환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,대림온누리,서울 영등포구 대림로22길 38,,,1156013300,43,2016-10-09 19:51:43,126.9044636951,37.495368221
W0J053,1,대림갑을명가(BM),우성환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,대림갑을명가,서울 영등포구 대림로22길 29,,,1156013300,160,2016-10-09 19:51:43,126.9035348064,37.4955257784
W0J054,1,대성유니드(BM),동일환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,대성유니드,서울 영등포구 가마산로50길 27,,,1156067000,137,2016-10-09 19:51:43,126.902976891,37.5016611815
W0J055,1,신길건영(BM),삼원환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,신길건영(BM),,,,1156013200,390,2016-10-09 19:51:43,,
W0J056,1,신길우성1차(BM),삼원환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,신길우성1차,서울 영등포구 도신로 68,,,1156013200,695,2016-10-09 19:51:43,126.8989981963,37.5054357026
W0J057,1,신길우성5차(BM),삼원환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,신길우성5차,서울 영등포구 도신로 100,,,1156013200,324,2016-10-09 19:51:43,126.9032304982,37.5067551088
W0J058,1,신길신미(BM),동일환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,신길신미(BM),,,,1156013300,132,2016-10-09 19:51:43,,
W0J059,1,한화꿈에그린(BM),동일환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,한화꿈에그린,서울 영등포구 신길로 119,,,1156067000,287,2016-10-09 19:51:43,126.9090637999,37.5030708597
W0J060,1,남서울(BM),주선기업,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,남서울,서울 영등포구 신길로 108,,,1156013200,554,2016-10-09 19:51:43,126.9095923475,37.500603793
W0J061,1,신길우성2차(BM),삼원환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,신길우성2차,서울 영등포구 대방천로 180,,,1156013200,729,2016-10-09 19:51:43,126.9105784417,37.4989321986
W0J062,1,신길우성3차(BM),삼원환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,신길우성3차,서울 영등포구 대방천로14길 32,,,1156013200,482,2016-10-09 19:51:43,126.9087001619,37.497534726
W0J063,1,보라매경남아너스빌(BM),삼원환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,보라매경남아너스빌,서울 영등포구 여의대방로 25,,,1156013200,676,2016-10-09 19:51:43,126.9092192849,37.4948242456
W0J064,1,신길삼성(BM),삼원환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,신길삼성,서울 영등포구 여의대방로 45,,,1156013200,389,2016-10-09 19:51:43,126.9109959088,37.4961941629
W0J065,1,신길우창(BM),삼원환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,우창아파트,서울특별시 영등포구 여의대방로5길 6,"(신길동, 우창아파트)",,1156013200,217,2016-10-09 19:51:43,126.9124048,37.4973018
W0J066,1,보라매두산위브(BM),삼원환경,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,보라매두산위브,서울 영등포구 여의대방로9길 5,,,1156013200,166,2016-10-09 19:51:43,126.9142444228,37.4974181306
W0J067,1,해군바다마을(BM),주선기업,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,해군바다마을,서울 영등포구 가마산로 540,,,1156013200,415,2016-10-09 19:51:43,126.9154966026,37.503679732
W0J068,1,신길한성(BM),주선기업,W0J,서울특별시,영등포구,11EQUM,개별계량장비,AF,후불,신길한성(BM),,,,1156013200,425,2016-10-09 19:51:43,,
