aptCode,aptManage,aptName_x,aptMemo,cityCode_x,citySidoName,citySggName,equipCode,equipName,chargeCode,chargeName,aptName_y,roadAddr1,roadAddr2,cityCode_y,hbgvCode,ctznCnt,regDate,xlatlng,ylatlng
W0K000,0,동작구청,삭제엄금,W0K,서울특별시,동작구,11EQUM,개별계량장비,AF,후불,,,,,,,,,
W0K001,1,본동삼성래미안,,W0K,서울특별시,동작구,11EQUM,개별계량장비,AF,후불,본동삼성래미안,서울 동작구 매봉로 123,,,1159010400,480,2016-10-09 19:51:43,,
W0K003,1,상도더샵아파트,,W0K,서울특별시,동작구,11EQUM,개별계량장비,AF,후불,상도더샵아파트,서울 동작구 장승배기로4길 9,,,1159010200,1124,2016-10-09 19:51:43,,
W0K004,1,건영약수맨션,,W0K,서울특별시,동작구,11EQUM,개별계량장비,AF,후불,건영약수맨션,서울 동작구 양녕로26길 15,,,1159010200,132,2016-10-09 19:51:43,,
W0K005,1,래미안상도3차아파트,,W0K,서울특별시,동작구,11EQUM,개별계량장비,AF,후불,래미안상도3차아파트,서울 동작구 상도로53길 8,,,1159010300,1658,2016-10-09 19:51:43,,
W0K006,1,흑석한강센트레빌아파트,,W0K,서울특별시,동작구,11EQUM,개별계량장비,AF,후불,흑석한강센트레빌,서울특별시 동작구 흑석한강로 12,"(흑석동, 흑석한강센트레빌)",,1159010500,658,2016-10-09 19:51:43,126.9652808,37.5062196
W0K007,1,사당KCC아파트,,W0K,서울특별시,동작구,11EQUM,개별계량장비,AF,후불,사당KCC아파트,서울 동작구 사당로20나길 57,,,1159010700,113,2016-10-09 19:51:43,,
W0K008,1,신대방현대아파트,,W0K,서울특별시,동작구,11EQUM,개별계량장비,AF,후불,신대방현대아파트,서울 동작구 여의대방로 28,,,1159010900,882,2016-10-09 19:51:43,,
W0K009,1,남성역두산위브아파트,,W0K,서울특별시,동작구,11EQUM,개별계량장비,AF,후불,남성역두산위브아파트,서울 동작구 사당로13길 31,,,1159010700,454,2016-10-09 19:51:43,,
W0K010,1,노량진삼익아파트,,W0K,서울특별시,동작구,11EQUM,개별계량장비,AF,후불,노량진삼익아파트,,,,1159010100,176,2016-10-09 19:51:43,,
W0K011,1,한강쌍용아파트,,W0K,서울특별시,동작구,11EQUM,개별계량장비,AF,후불,한강쌍용아파트,,,,1159010400,163,2016-10-09 19:51:43,,
W0K012,1,경동윈츠리버아파트,,W0K,서울특별시,동작구,11EQUM,개별계량장비,AF,후불,경동윈츠리버아파트,,,,1159010400,274,2016-10-09 19:51:43,,
W0K013,1,본동한신휴플러스제2아파트,,W0K,서울특별시,동작구,11EQUM,개별계량장비,AF,후불,본동한신휴플러스제2아파트,,,,1159010400,136,2016-10-09 19:51:43,,
W0K015,1,상도엠코타운센트럴파크,,W0K,서울특별시,동작구,11EQUM,개별계량장비,AF,후불,상도엠코타운센트럴파크,,,,1159010200,1562,2016-10-09 19:51:43,,
W0K016,1,상도건영제2아파트,,W0K,서울특별시,동작구,11EQUM,개별계량장비,AF,후불,상도건영제2아파트,,,,1159010200,554,2016-10-09 19:51:43,,
