aptCode,aptManage,aptName_x,aptMemo,cityCode_x,citySidoName,citySggName,equipCode,equipName,chargeCode,chargeName,aptName_y,roadAddr1,roadAddr2,cityCode_y,hbgvCode,ctznCnt,regDate,xlatlng,ylatlng
W0S000,0,부산동구청,,W0S,부산광역시,동구,11EQUM,개별계량장비,AF,후불,,,,,,,,,
W0S001,1,한성기린프라자,,W0S,부산광역시,동구,11EQUM,개별계량장비,AF,후불,한성기린프라자,,,,2617010400,550,2016-10-09 19:51:43,129.05694418,35.1389986145
W0S002,1,두산위브포세이돈2,,W0S,부산광역시,동구,11EQUM,개별계량장비,AF,후불,두산위브포세이돈2,부산 동구 자성로116번길 2,,,2617010400,806,2016-10-09 19:51:43,129.0634549653,35.1362369911
W0S003,1,범일삼익,,W0S,부산광역시,동구,11EQUM,개별계량장비,AF,후불,범일삼익,,,,2617010400,153,2016-10-09 19:51:43,,
W0S004,1,범일한양1,,W0S,부산광역시,동구,11EQUM,개별계량장비,AF,후불,범일한양1,,,,2617010400,181,2016-10-09 19:51:43,,
W0S005,1,"범일한양2,3",,W0S,부산광역시,동구,11EQUM,개별계량장비,AF,후불,"범일한양2,3",부산 동구 조방로26번길 17,,,2617010400,297,2016-10-09 19:51:43,129.0635603464,35.1405994201
W0S006,1,두산위브범일뉴타운,,W0S,부산광역시,동구,11EQUM,개별계량장비,AF,후불,두산위브범일뉴타운,부산 동구 성남일로 5,,,2617068000,468,2016-10-09 19:51:43,129.0551015388,35.1321429886
W0S007,1,아르미나,,W0S,부산광역시,동구,11EQUM,개별계량장비,AF,후불,아르미나,부산 동구 홍곡남로 50,,,2617010200,294,2016-10-09 19:51:43,129.0359626274,35.1257963113
W0S008,1,동원드림타운,,W0S,부산광역시,동구,11EQUM,개별계량장비,AF,후불,동원드림타운,부산 동구 고관로 173,,,2617010300,300,2016-10-09 19:51:43,129.0504417116,35.1323830276
W0S009,1,초량화신1차,,W0S,부산광역시,동구,11EQUM,개별계량장비,AF,후불,초량화신1차,,,,2617010100,229,2016-10-09 19:51:43,,
W0S010,1,초량반도보라,,W0S,부산광역시,동구,11EQUM,개별계량장비,AF,후불,초량반도보라,부산 동구 중앙대로320번길 10,,,2617010100,319,2016-10-09 19:51:43,129.0459602888,35.124064302
W0S011,1,진흥마제스타워,,W0S,부산광역시,동구,11EQUM,개별계량장비,AF,후불,진흥마제스타워,부산 동구 자성로133번길 6,,,2617010400,432,2016-10-09 19:51:43,129.065216627,35.1376748527
W0S012,1,동원로얄듀크비스타,,W0S,부산광역시,동구,11EQUM,개별계량장비,AF,후불,동원로얄듀크비스타,부산 동구 중앙대로286번길 10,,,2617010100,277,2016-10-09 19:51:43,129.044501671,35.1212067524
W0S013,1,부산역유림로미오와줄리엣(BM),,W0S,부산광역시,동구,11EQUM,개별계량장비,AF,후불,부산역유림로미오와줄리엣,부산 동구 중앙대로274번길 7-7,,,2617010100,661,2016-10-09 19:51:43,129.0441011916,35.1215003726
W0S015,1,범일역 이즈팰리스베스트(BM),,W0S,부산광역시,동구,11EQUM,개별계량장비,AF,후불,범일역 이즈팰리스 베스트,부산광역시 동구 조방로26번길 7,"(범일동, 범일역 이즈팰리스 베스트)",,2617010400,115,2020-04-03 12:12:02,129.0624537,35.1397858
W0S016,1,신화하니엘,,W0S,부산광역시,동구,11EQUM,개별계량장비,AF,후불,신화하니엘,부산광역시 동구 고관로 48,(초량동),,2617010100,149,2020-04-03 12:10:15,129.0436159,35.1236073
W0S017,1,오션브릿지,,W0S,부산광역시,동구,11EQUM,개별계량장비,AF,후불,오션브릿지,부산광역시 동구 범일로 41,"(범일동, 오션브릿지)",,2617010400,803,2020-04-03 12:11:37,129.0588165,35.1336501
W0S018,1,베스안하우스2차,,W0S,부산광역시,동구,11EQUM,개별계량장비,AF,후불,베스안하우스 2차,부산광역시 동구 홍곡로 68,"(수정동, 베스안하우스 2차)",,2617010200,51,2020-04-03 12:11:20,129.0421891,35.124982
W0S019,1,영동리원아파트,(주)솔루션아이티,W0S,부산광역시,동구,11EQUM,개별계량장비,AF,후불,영동리원아파트,부산광역시 동구 범곡북로 15,(범일동),,2617010400,84,2018-05-08 15:37:34,129.0541583,35.1414272
W0S01A,1,좌천서린엘마르더뷰(BM),,W0S,부산광역시,동구,11EQUM,개별계량장비,AF,후불,좌천서린엘마르더뷰(BM),부산광역시 동구 좌천동 942-5,,,,257,2018-12-21 11:28:30,129.0476999,35.135877
W0S01B,1,금초파크,(주)솔루션아이티,W0S,부산광역시,동구,11EQUM,개별계량장비,AF,후불,금초파크,부산광역시 동구 범곡북로 7,(범일동),,2617010400,48,2019-03-26 10:32:30,129.0548995,35.1415872
W0S01C,1,협성휴포레(BM),휴포레 아파트,W0S,부산광역시,동구,11EQUM,개별계량장비,AF,후불,협성휴포레부산진역,부산광역시 동구 중앙대로 357,"(수정동, 협성휴포레부산진역)",,2617010200,788,2019-06-17 13:21:59,129.0466798,35.1278094
W0S01D,1,e편한세상부산항(ki),,W0S,부산광역시,동구,11EQUM,개별계량장비,AF,후불,이편한세상부산항,부산광역시 동구 홍곡로 50,"(초량동, 이편한세상부산항)",,2617010100,939,2019-07-05 08:40:10,129.0399771,35.1230978
W0S01F,1,협성휴포레오피스텔(BM),휴포레 오피스텔,W0S,부산광역시,동구,11EQUM,개별계량장비,AF,후불,협성휴포레부산진역,부산광역시 동구 중앙대로 357,"(수정동, 협성휴포레부산진역)",,2617010200,136,2019-07-17 15:41:11,129.0470423,35.1278273
