aptCode,aptManage,aptName_x,aptMemo,cityCode_x,citySidoName,citySggName,equipCode,equipName,chargeCode,chargeName,aptName_y,roadAddr1,roadAddr2,cityCode_y,hbgvCode,ctznCnt,regDate,xlatlng,ylatlng
W0T000,0,영도구청,,W0T,부산광역시,영도구,11EQUM,개별계량장비,AF,후불,,,,,,,,,
W0T001,1,원우엔리치빌,,W0T,부산광역시,영도구,11EQUM,개별계량장비,AF,후불,원우엔리치빌,부산 영도구 조내기로 38,,,2620012000,491,2016-10-09 19:51:43,129.0614703493,35.0851591369
W0T002,1,벽산비치타운,,W0T,부산광역시,영도구,11EQUM,개별계량장비,AF,후불,벽산비치타운,부산 영도구 와치로 266,,,2620012100,416,2016-10-09 19:51:43,129.0689334245,35.0745048565
W0T003,1,국제마마,,W0T,부산광역시,영도구,11EQUM,개별계량장비,AF,후불,국제마마,부산 영도구 중리로 32,,,2620012100,526,2016-10-09 19:51:43,129.0684812138,35.0737984292
W0T004,1,경전,,W0T,부산광역시,영도구,11EQUM,개별계량장비,AF,후불,경전,부산 영도구 동삼동로 10,,,2620012100,225,2016-10-09 19:51:43,129.0710694539,35.0806622884
W0T005,1,영선반도보라,,W0T,부산광역시,영도구,11EQUM,개별계량장비,AF,후불,영선반도보라,,,,2620055000,879,2016-10-09 19:51:43,129.040029815,35.0812498654
W0T006,1,함지그린,,W0T,부산광역시,영도구,11EQUM,개별계량장비,AF,후불,함지그린,부산 영도구 함지로 8,,,2620012100,1001,2016-10-09 19:51:43,129.0600011335,35.0707882253
W0T007,1,조양비취맨션,,W0T,부산광역시,영도구,11EQUM,개별계량장비,AF,후불,조양비취맨션,부산 영도구 절영로 504,,,2620012100,641,2016-10-09 19:51:43,129.0704290673,35.0712847532
W0T008,1,청학한라,,W0T,부산광역시,영도구,11EQUM,개별계량장비,AF,후불,청학한라,,,,2620012000,300,2016-10-09 19:51:43,,
W0T009,1,영광그린파크,,W0T,부산광역시,영도구,11EQUM,개별계량장비,AF,후불,영광그린파크,부산 영도구 중복길 270,,,2620058500,216,2016-10-09 19:51:43,129.0470141776,35.084028099
W0T010,1,일신마리나,,W0T,부산광역시,영도구,11EQUM,개별계량장비,AF,후불,일신마리나,부산 영도구 조내기로 33,,,2620012000,369,2016-10-09 19:51:43,129.0627354731,35.0865042773
W0T011,1,한일유엔아이,,W0T,부산광역시,영도구,11EQUM,개별계량장비,AF,후불,한일유엔아이,부산 영도구 일산봉로 58,,,2620012000,211,2016-10-09 19:51:43,129.0651952233,35.0872208872
W0T012,1,대원,,W0T,부산광역시,영도구,11EQUM,개별계량장비,AF,후불,영도대원아파트,부산광역시 영도구 남항새싹길 79,"(영선동4가, 영도대원아파트)",,2620011100,451,2016-10-09 19:51:43,129.0432177,35.0818699
W0T013,1,대동대교맨션,,W0T,부산광역시,영도구,11EQUM,개별계량장비,AF,후불,대동대교맨션,부산 영도구 대평로 16,,,2620053000,474,2016-10-09 19:51:43,129.0338852909,35.0916693471
W0T014,1,동부산아이존빌,,W0T,부산광역시,영도구,11EQUM,개별계량장비,AF,후불,동부산아이존빌,부산 영도구 영선대로 98,,,2620054000,417,2016-10-09 19:51:43,129.0431471003,35.0883600736
W0T015,1,청학화신맨션,,W0T,부산광역시,영도구,11EQUM,개별계량장비,AF,후불,청학화신맨션,,,,2620012000,251,2016-10-09 19:51:43,,
W0T016,1,에덴금호타운,,W0T,부산광역시,영도구,11EQUM,개별계량장비,AF,후불,에덴금호타운,부산 영도구 태종로 702,,,2620012100,296,2016-10-09 19:51:43,129.0757102856,35.0710359168
W0T017,1,동삼그린힐,,W0T,부산광역시,영도구,11EQUM,개별계량장비,AF,후불,동삼그린힐,부산 영도구 상리로 1,,,2620012100,2092,2016-10-09 19:51:43,129.0659016397,35.0851560801
W0T018,1,영도신도브레뉴,,W0T,부산광역시,영도구,11EQUM,개별계량장비,AF,후불,영도신도브래뉴,부산광역시 영도구 태종로 260,"(청학동, 영도신도브래뉴)",,2620012000,520,2016-10-09 19:51:43,129.0555975,35.0968758
W0T019,1,미주비치,,W0T,부산광역시,영도구,11EQUM,개별계량장비,AF,후불,미주비치,부산 영도구 일산봉로 62,,,2620012000,419,2016-10-09 19:51:43,129.0656844581,35.0875662001
W0T020,1,한진로즈힐,,W0T,부산광역시,영도구,11EQUM,개별계량장비,AF,후불,한진로즈힐,부산 영도구 와치로 294,,,2620012100,271,2016-10-09 19:51:43,129.0712268915,35.073429283
W0T021,1,절영3차,,W0T,부산광역시,영도구,11EQUM,개별계량장비,AF,후불,절영3차,부산 영도구 와치로 287,,,2620012100,366,2016-10-09 19:51:43,129.0717702968,35.0743148411
W0T022,1,영도유림,,W0T,부산광역시,영도구,11EQUM,개별계량장비,AF,후불,영도유림,부산 영도구 봉래길 94,,,2620060500,311,2016-10-09 19:51:43,129.0501196003,35.0898940341
W0T023,1,봉래-미광마린타워, 봉래동2가 112,W0T,부산광역시,영도구,11EQUM,개별계량장비,AF,후불,봉래-미광마린타워,부산 영도구 대교로14번길 17,,,2620059000,678,2016-10-09 19:51:43,129.0427713758,35.0940360379
W0T024,1,청학-롯데낙천대, 청학제2동 99-294,W0T,부산광역시,영도구,11EQUM,개별계량장비,AF,후불,신영도 롯데낙천대 아파트,부산광역시 영도구 청학남로 48,"(청학동, 신영도 롯데낙천대 아파트)",,2620012000,530,2016-10-09 19:51:43,129.0627077,35.0884712
W0T025,1,동삼-절영2차,동삼제1동 510-2,W0T,부산광역시,영도구,11EQUM,개별계량장비,AF,후불,동삼-절영2차,부산 영도구 와치로 231,,,2620012100,1343,2016-10-09 19:51:43,129.0629893187,35.0727874032
W0T026,1,영도일동미라주브라이튼1단지,,W0T,부산광역시,영도구,11EQUM,개별계량장비,AF,후불,영도일동미라주브라이튼1단지,부산 영도구 동삼북로 20,,,2620012100,250,2016-10-09 19:51:43,,
W0T027,1,영도일동미라주브라이튼2단지,,W0T,부산광역시,영도구,11EQUM,개별계량장비,AF,후불,영도일동미라주브라이튼2단지,부산 영도구 동삼로 98,,,2620012100,64,2016-10-09 19:51:43,,
W0T028,1,더페로스아파트,,W0T,부산광역시,영도구,11EQUM,개별계량장비,AF,후불,더페로스아파트,부산 영도구 영선대로67번길 17,,,2620011000,117,2016-10-09 19:51:43,,
W0T029,1,영도성우펠리체이움아파트,봉래동3가 91-2(대교로2번길 15),W0T,부산광역시,영도구,11EQUM,개별계량장비,AF,후불,영도성우펠리체이움아파트,부산 영도구 대교로2번길 15,,,2620011700,164,2016-10-09 19:51:43,,
W0T02A,1,영도오션블루(BM),영도구 봉래동2가 49번지,W0T,부산광역시,영도구,11EQUM,개별계량장비,AF,후불,영도오션블루(BM),부산광역시 영도구 대교로 19,(봉래동2가),,2620011600,222,2016-10-09 19:51:43,129.0425882,35.0933476
W0T030,1,대교타운,,W0T,부산광역시,영도구,11EQUM,개별계량장비,AF,후불,대교타운,,,,2620011500,124,2016-10-09 19:51:43,,
W0T031,1,태종파크맨션,,W0T,부산광역시,영도구,11EQUM,개별계량장비,AF,후불,태종파크맨션,부산광역시 영도구 웃서발로 15,"(동삼동, 태종파크맨션)",,2620012100,120,2020-04-03 12:13:17,129.0678369,35.0818933
W0T032,1,롯데캐슬블루오션,,W0T,부산광역시,영도구,11EQUM,개별계량장비,AF,후불,롯데캐슬 블루오션,부산광역시 영도구 절영로 524,"(동삼동, 롯데캐슬 블루오션)",,2620012100,381,2019-11-15 16:56:12,129.0735862,35.0725878
W0T033,1,퀸페로스아파트,,W0T,부산광역시,영도구,11EQUM,개별계량장비,AF,후불,퀸페로스,부산광역시 영도구 남항로31번길 15,"(남항동1가, 퀸페로스)",,2620010500,74,2020-04-03 12:21:10,129.0399758,35.089785
W0T034,1,영도경동리인,(주)솔루션아이티,W0T,부산광역시,영도구,11EQUM,개별계량장비,AF,후불,영도경동리인,부산광역시 영도구 절영로490번길 8-22,(동삼동),,2620012100,123,2017-11-30 13:49:34,129.0696512,35.0697093
