aptCode,aptManage,aptName_x,aptMemo,cityCode_x,citySidoName,citySggName,equipCode,equipName,chargeCode,chargeName,aptName_y,roadAddr1,roadAddr2,cityCode_y,hbgvCode,ctznCnt,regDate,xlatlng,ylatlng
W17000,0,대구동구청,,W17,대구광역시,동구,11EQUM,개별계량장비,AF,후불,,,,,,,,,
W17001,1,영남네오빌1차,,W17,대구광역시,동구,11EQUM,개별계량장비,AF,후불,영남네오빌1차,대구 동구 동촌로 190,,,2714011100,932,2016-10-09 19:51:43,128.6602424801,35.8817818841
W17002,1,신암그린타운,신암2동 461-1,W17,대구광역시,동구,11EQUM,개별계량장비,AF,후불,신암그린타운,대구 동구 신성로 30,,,2714052000,401,2016-10-09 19:51:43,128.6109178544,35.8782813884
W17003,1,청기와,신암5동 1525,W17,대구광역시,동구,11EQUM,개별계량장비,AF,후불,청기와,대구 동구 아양로49길 20,,,2714010100,336,2016-10-09 19:51:43,128.6386939354,35.8878662594
W17004,1,신암뜨란채,신암1동 766,W17,대구광역시,동구,11EQUM,개별계량장비,AF,후불,뜨란채,대구 동구 아양로7길 12,,,2714010100,831,2016-10-09 19:51:43,128.616858836,35.8840413426
W17005,1,강변동서마을,화랑로100길17,W17,대구광역시,동구,11EQUM,개별계량장비,AF,후불,강변동서마을,대구 동구 화랑로100길 17,,,2714073000,650,2016-10-09 19:51:43,128.6786171725,35.8740389463
W17006,1,신서화성파크드림,반야월북로 221,W17,대구광역시,동구,11EQUM,개별계량장비,AF,후불,신서화성파크드림,대구 동구 반야월북로 221,,,2714074500,936,2016-10-09 19:51:43,128.7214919603,35.873033592
W17007,1,신천청아람,신천3동 200-1,W17,대구광역시,동구,11EQUM,개별계량장비,AF,후불,신천청아람,대구 동구 송라로14길 132,,,2714010200,492,2016-10-09 19:51:43,128.6214243821,35.8739103645
W17008,1,세계육상 선수촌1단지,율하동 1402,W17,대구광역시,동구,11EQUM,개별계량장비,AF,후불,세계육상 선수촌1단지,대구 동구 율하서로 85,,,2714072000,531,2016-10-09 19:51:43,128.6894751959,35.8608684088
W17009,1,세계육상 선수촌2단지,율하동 1408,W17,대구광역시,동구,11EQUM,개별계량장비,AF,후불,세계육상 선수촌2단지,대구 동구 안심로16길 71,,,2714072000,658,2016-10-09 19:51:43,128.6930470988,35.8619869771
W17010,1,이시아폴리스더샵3차,봉무동 1530,W17,대구광역시,동구,11EQUM,개별계량장비,AF,후불,이시아폴리스더샵3차,대구 동구 팔공로51길 10,,,2714010500,1690,2016-10-09 19:51:43,,
W17011,1,대경넥스빌,신서동 538-2,W17,대구광역시,동구,11EQUM,개별계량장비,AF,후불,대경넥스빌,대구광역시 동구 안심로 400,"(신서동, 대경넥스빌)",,2714012400,454,2016-10-09 19:51:43,128.7275786,35.8682078
W17012,1,이시아폴리스더샵1차,봉무동1524,W17,대구광역시,동구,11EQUM,개별계량장비,AF,후불,이시아폴리스더샵1차,,,,2714010500,656,2016-10-09 19:51:43,,
W17013,1,대구혁신도시서한이다음,,W17,대구광역시,동구,11EQUM,개별계량장비,AF,후불,대구혁신도시 서한 이다음,대구광역시 동구 이노밸리로29길 56,"(각산동, 대구혁신도시 서한 이다음)",,2714012300,493,2016-10-09 19:51:43,128.7144722,35.8839517
W17014,1,신천두산위브,(주)콘포테크,W17,대구광역시,동구,11EQUM,개별계량장비,AF,후불,신천 두산위브,대구광역시 동구 국채보상로 829,"(신천동, 신천 두산위브)",,2714010200,294,2017-05-17 14:46:53,128.6221942,35.8680947
W17015,1,율하엘크루,(주)콘포테크,W17,대구광역시,동구,11EQUM,개별계량장비,AF,후불,율하역엘크루아파트,대구광역시 동구 안심로7길 7,"(용계동, 율하역엘크루아파트)",,2714011900,329,2017-05-17 15:02:26,128.6901057,35.872717
W17016,1,신서신일해피트리,(주)콘포테크,W17,대구광역시,동구,11EQUM,개별계량장비,AF,후불,신서동 신일해피트리,대구광역시 동구 반야월로 370,"(신서동, 신서동 신일해피트리)",,2714012400,588,2017-05-17 15:03:44,128.7299524,35.8708556
W17017,1,불로서한이다음,(주)콘포테크,W17,대구광역시,동구,11EQUM,개별계량장비,AF,후불,불로 서한이다음,대구광역시 동구 공항로 148,"(불로동, 불로 서한이다음)",,2714010600,299,2017-05-17 15:04:19,128.6300763,35.8995973
