aptCode,aptManage,aptName_x,aptMemo,cityCode_x,citySidoName,citySggName,equipCode,equipName,chargeCode,chargeName,aptName_y,roadAddr1,roadAddr2,cityCode_y,hbgvCode,ctznCnt,regDate,xlatlng,ylatlng
W1G000,0,인천 미추홀구,,W1G,인천광역시,미추홀구,11EQUM,개별계량장비,AF,후불,,,,,,,,,
W1G001,1,용현엠코타운아파트,,W1G,인천광역시,미추홀구,11EQUM,개별계량장비,AF,후불,용현엠코타운아파트,인천광역시 미추홀구 토금북로 56,,,2817010200,174,2016-10-09 19:51:43,126.6394959536,37.4524266866
W1G002,1,숭의동광해리드빌,,W1G,인천광역시,미추홀구,11EQUM,개별계량장비,AF,후불,숭의동광해리드빌,인천광역시 미추홀구 미추로 61,,,2817010100,267,2016-10-09 19:51:43,126.6454076708,37.4654579896
W1G003,1,한화꿈에그린,,W1G,인천광역시,미추홀구,11EQUM,개별계량장비,AF,후불,한화꿈에그린,인천광역시 미추홀구 석정로126번길 23,,,2817010100,406,2016-10-09 19:51:43,126.6495552561,37.4676691704
W1G004,1,동아(고층),,W1G,인천광역시,미추홀구,11EQUM,개별계량장비,AF,후불,동아(고층),인천광역시 미추홀구 능해길 32,,,2817010200,401,2016-10-09 19:51:43,126.6389189248,37.4583803854
W1G005,1,삼익 ,,W1G,인천광역시,미추홀구,11EQUM,개별계량장비,AF,후불,삼익 ,인천광역시 미추홀구 능해길46번길 51,,,2817010200,170,2016-10-09 19:51:43,126.6386161741,37.4561879071
W1G006,1,용현금호타운,,W1G,인천광역시,미추홀구,11EQUM,개별계량장비,AF,후불,용현금호1차아파트,인천광역시 미추홀구 낙섬동로 9,,,2817010200,1173,2016-10-09 19:51:43,126.6367791474,37.4478009877
W1G007,1,용현금호타운2단지,,W1G,인천광역시,미추홀구,11EQUM,개별계량장비,AF,후불,용현금호타운2단지,인천광역시 미추홀구 매소홀로 68,,,2817010200,1309,2016-10-09 19:51:43,126.6322452963,37.4497958159
W1G008,1,신창미션힐아파트,,W1G,인천광역시,미추홀구,11EQUM,개별계량장비,AF,후불,신창미션힐아파트,인천광역시 미추홀구 매소홀로 171,,,2817010200,824,2016-10-09 19:51:43,126.6416824181,37.4451146289
W1G009,1,용현한양2차,,W1G,인천광역시,미추홀구,11EQUM,개별계량장비,AF,후불,용현한양2차,인천광역시 미추홀구 매소홀로 23-42,,,2817010200,353,2016-10-09 19:51:43,126.6312019699,37.4530059586
W1G010,1,용현우성,,W1G,인천광역시,미추홀구,11EQUM,개별계량장비,AF,후불,용현우성,인천광역시 미추홀구 토금남로 79,,,2817010200,409,2016-10-09 19:51:43,126.6409288756,37.4507065248
W1G011,1,용현한국아파트,,W1G,인천광역시,미추홀구,11EQUM,개별계량장비,AF,후불,용현한국아파트,인천광역시 미추홀구 낙섬동로 6,,,2817010200,299,2016-10-09 19:51:43,126.638428303,37.4469387145
W1G012,1,용현서해아파트,,W1G,인천광역시,미추홀구,11EQUM,개별계량장비,AF,후불,용현서해아파트,인천광역시 미추홀구 토금중로 63,,,2817010200,301,2016-10-09 19:51:43,126.6401005894,37.4519533737
W1G013,1,금호어울림3단지,,W1G,인천광역시,미추홀구,11EQUM,개별계량장비,AF,후불,금호어울림3단지,인천광역시 미추홀구 낙섬동로 51,,,2817010200,182,2016-10-09 19:51:43,126.6397790906,37.4504097298
W1G014,1,도화동아,,W1G,인천광역시,미추홀구,11EQUM,개별계량장비,AF,후불,도화동아,,,,2817010500,498,2016-10-09 19:51:43,126.6658402297,37.4655409049
