aptCode,aptManage,aptName_x,aptMemo,cityCode_x,citySidoName,citySggName,equipCode,equipName,chargeCode,chargeName,aptName_y,roadAddr1,roadAddr2,cityCode_y,hbgvCode,ctznCnt,regDate,xlatlng,ylatlng
W1M000,0,강화군청,,W1M,인천광역시,강화군,11EQUM,개별계량장비,AF,후불,,,,,,,,,
W1M001,1,강화베이힐,갑곳리 1100,W1M,인천광역시,강화군,11EQUM,개별계량장비,AF,후불,강화베이힐,인천 강화군 강화읍 강화대로 234-12,,,2871025000,180,2016-10-09 19:51:43,126.5028277838,37.7428562996
W1M003,1,세광2차아파트,선원면 창리 619,W1M,인천광역시,강화군,11EQUM,개별계량장비,BF,선불,세광2차아파트,인천 강화군 선원면 중앙로 253-1,,,2871031000,497,2016-10-09 19:51:43,126.4824461136,37.7235836559
W1M004,1,세광1차아파트,선원면 창리 663,W1M,인천광역시,강화군,11EQUM,개별계량장비,BF,선불,세광1차아파트,인천 강화군 선원면 중앙로 274,,,2871031000,576,2016-10-09 19:51:43,126.4792626649,37.724042833
W1M005,1,강화현대아파트,강화읍 갑곳리 667,W1M,인천광역시,강화군,11EQUM,개별계량장비,BF,선불,강화현대아파트,인천 강화군 강화읍 강화대로215번길 51,,,2871025000,219,2016-10-09 19:51:43,126.5070641256,37.7375473825
W1M006,1,이지미래지향아파트,남산리 599,W1M,인천광역시,강화군,11EQUM,개별계량장비,BF,선불,이지미래지향아파트,인천 강화군 강화읍 남문로 41,,,2871025000,120,2016-10-09 19:51:43,126.4872064255,37.7423085028
W1M007,1,원창빌리지,길상면 온수리 423-10,W1M,인천광역시,강화군,11EQUM,개별계량장비,BF,선불,원창빌리지,인천 강화군 길상면 마니산로 75,,,2871031000,0,2016-10-09 19:51:43,126.4850146214,37.6392258319
W1M008,1,나경캐슬,갑곳리 82-1,W1M,인천광역시,강화군,11EQUM,개별계량장비,BF,선불,나경캐슬,인천 강화군 강화읍 갑룡길 55-3,,,2871025000,0,2016-10-09 19:51:43,126.4981511119,37.7437359597
W1M009,1,그랑드빌,갑곳리 165-1,W1M,인천광역시,강화군,11EQUM,개별계량장비,BF,선불,그랑드빌,인천 강화군 강화읍 갑룡길 35,,,2871025000,98,2016-10-09 19:51:43,126.4964056274,37.7443970802
W1M010,1,설호아파트,갑곳리 83-1,W1M,인천광역시,강화군,11EQUM,개별계량장비,BF,선불,설호아파트,인천 강화군 강화읍 갑룡길49번길 2,,,2871025000,90,2016-10-09 19:51:43,126.4975426997,37.7442445242
W1M011,1,건일2차온수아파트,온수리 455-6,W1M,인천광역시,강화군,11EQUM,개별계량장비,BF,선불,건일2차온수아파트,인천 강화군 길상면 온수길 67,,,2871031000,0,2016-10-09 19:51:43,126.4870108573,37.6399550244
W1M012,1,이지홈타운,길직리 1067-1,W1M,인천광역시,강화군,11EQUM,개별계량장비,BF,선불,이지홈타운,인천 강화군 길상면 길직로 15-5,,,2871031000,50,2016-10-09 19:51:43,126.4916053469,37.6547397913
W1M013,1,강화 풍물시장,(주)트라이에스,W1M,인천광역시,강화군,11EQUM,개별계량장비,BF,선불,강화 풍물시장,인천광역시 강화군 강화읍 중앙로 17-9,,,2871025025,10,2018-07-03 22:36:59,126.4928673,37.7414413
W1M014,1,"대한아튼빌(가,나동)",㈜콘포테크,W1M,인천광역시,강화군,11EQUM,개별계량장비,BF,선불,"대한아튼빌(가,나동)",인천광역시 강화군 강화읍 동문로74번길 11,(대한아트빌),,2871025027,50,2020-04-14 14:06:38,126.4936474,37.7504521
W1M015,1,"대한아튼빌(다,라동)",㈜콘포테크,W1M,인천광역시,강화군,11EQUM,개별계량장비,BF,선불,"대한아튼빌(다,라동)",인천광역시 강화군 강화읍 동문로74번길 11,(대한아트빌),,2871025027,50,2020-04-14 14:08:08,126.4936474,37.7504521
W1M016,1,숭뢰1리마을회관,㈜콘포테크,W1M,인천광역시,강화군,11EQUM,개별계량장비,BF,선불,숭뢰1리마을회관,인천광역시 강화군 송해면 상도숭뢰길 179,,,2871039023,50,2020-04-14 13:55:45,126.4776523,37.7865438
W1M017,1,삼성골드팰리스,㈜콘포테크,W1M,인천광역시,강화군,11EQUM,개별계량장비,BF,선불,삼성골드팰리스,인천광역시 강화군 불은면 삼성리 737-2,,,,100,2020-04-14 14:08:14,126.4507821,37.7002171
W1M018,1,이지홈타운,㈜콘포테크,W1M,인천광역시,강화군,11EQUM,개별계량장비,BF,선불,이지홈타운,인천광역시 강화군 길상면 길직로 15-5,(이지홈타운),,2871033026,100,2020-04-14 14:05:37,126.4915298,37.6538946
W1M019,1,유성아파트1차,㈜콘포테크,W1M,인천광역시,강화군,11EQUM,개별계량장비,BF,선불,유성아파트1차,인천광역시 강화군 강화읍 강화대로248번길 20,(유성아파트),,2871025025,22,2020-04-14 13:45:40,126.5026514,37.7422356
W1M020,1,유성아파트2차,㈜콘포테크,W1M,인천광역시,강화군,11EQUM,개별계량장비,BF,선불,유성아파트2차,인천광역시 강화군 강화읍 강화대로248번길 20,(유성아파트),,2871025025,23,2020-04-14 13:56:08,126.5026514,37.7422356
W1M021,1,사랑빌라,㈜콘포테크,W1M,인천광역시,강화군,11EQUM,개별계량장비,BF,선불,사랑빌라,인천광역시 강화군 강화읍 갑룡길56번길 9-1,(사랑빌라),,2871025025,50,2020-04-14 13:54:57,126.499627,37.742148
W1M022,1,정아주택,㈜콘포테크,W1M,인천광역시,강화군,11EQUM,개별계량장비,BF,선불,정아주택,인천광역시 강화군 강화읍 갑룡길66번길 3,,,2871025025,50,2020-04-14 13:46:43,126.5002077,37.7427798
W1M023,1,보경하이츠빌라,㈜콘포테크,W1M,인천광역시,강화군,11EQUM,개별계량장비,BF,선불,보경하이츠빌라,인천광역시 강화군 강화읍 갑룡길74번길 5-2,(보경하이츠빌라),,2871025025,50,2020-04-14 14:09:47,126.5012112,37.7426907
W1M024,1,용진아파트3차,㈜콘포테크,W1M,인천광역시,강화군,11EQUM,개별계량장비,BF,선불,용진아파트3차,인천광역시 강화군 강화읍 강화대로248번길 9-2,(용진3차아파트),,2871025025,46,2020-04-14 13:54:14,126.5017362,37.7414465
W1M025,1,터미널수거장,㈜콘포테크,W1M,인천광역시,강화군,11EQUM,개별계량장비,BF,선불,터미널수거장,인천광역시 강화군 강화읍 중앙로 43,,,2871025024,100,2019-10-24 14:47:10,126.4903933,37.739815
W1M026,1,마이더스1차,㈜콘포테크,W1M,인천광역시,강화군,11EQUM,개별계량장비,BF,선불,마이더스1차,인천광역시 강화군 강화읍 갑룡길74번길 9,(마이더스),,2871025025,50,2020-04-14 14:00:08,126.5010742,37.7423511
