aptCode,aptManage,aptName_x,aptMemo,cityCode_x,citySidoName,citySggName,equipCode,equipName,chargeCode,chargeName,aptName_y,roadAddr1,roadAddr2,cityCode_y,hbgvCode,ctznCnt,regDate,xlatlng,ylatlng
W1R000,0,광주북구,광주북구,W1R,광주광역시,북구,11EQUM,개별계량장비,AF,후불,,,,,,,,,
W1R001,1,신용_첨단자이2차,,W1R,광주광역시,북구,11EQUM,개별계량장비,AF,후불,신용_첨단자이2차,광주 북구 임방울대로 1020,,,2917069500,549,2016-10-09 19:51:43,126.8683783651,35.2118091391
W1R002,1,신용_첨단2지구 부영,,W1R,광주광역시,북구,11EQUM,개별계량장비,AF,후불,신용_첨단2지구 부영,광주 북구 첨단연신로 166,,,2917069500,1775,2016-10-09 19:51:43,126.8632461631,35.2133872708
W1R003,1,용봉_엘리체,,W1R,광주광역시,북구,11EQUM,개별계량장비,AF,후불,용봉_엘리체,광주 북구 서하로94번길 60,,,2917010700,432,2016-10-09 19:51:43,126.8947359539,35.1851453237
W1R004,1,용봉-신동아,북구 용봉동 850,W1R,광주광역시,북구,11EQUM,개별계량장비,AF,후불,용봉-신동아,광주 북구 비엔날레로 112-5,,,2917010700,408,2016-10-09 19:51:43,126.8913539157,35.1820896471
W1R011,1,첨단2지구호반베르디움2단지,신용동2번지,W1R,광주광역시,북구,11EQUM,개별계량장비,AF,후불,첨단2지구호반베르디움2단지,광주 북구 첨단연신로133번길 7,,,2917069500,732,2016-10-09 19:51:43,126.8624096013,35.2079636878
W1R012,1,매곡동서강,매곡동 215-2,W1R,광주광역시,북구,11EQUM,개별계량장비,AF,후불,매곡동서강,,,,2917011700,148,2016-10-09 19:51:43,,
W1R013,1,문흥광명,문흥동 1010-1,W1R,광주광역시,북구,11EQUM,개별계량장비,AF,후불,문흥광명,광주 북구 천지인로173번길 22,,,2917011200,479,2016-10-09 19:51:43,126.9186606707,35.1847124879
W1R014,1,문흥중흥파크3차,문흥동 1010-8,W1R,광주광역시,북구,11EQUM,개별계량장비,AF,후불,문흥중흥파크3차,광주 북구 천지인로173번길 10,,,2917011200,487,2016-10-09 19:51:43,126.9183094796,35.1831328249
W1R015,1,신안동모아타운,신안동 213-1,W1R,광주광역시,북구,11EQUM,개별계량장비,AF,후불,신안동모아타운,광주 북구 서양로 30,,,2917010600,183,2016-10-09 19:51:43,126.9048717892,35.1703174844
W1R016,1,신안중흥파크,신안동 351-11,W1R,광주광역시,북구,11EQUM,개별계량장비,AF,후불,신안중흥파크,광주 북구 서암대로 66,,,2917010600,253,2016-10-09 19:51:43,126.8920606133,35.1712547549
