aptCode,aptManage,aptName_x,aptMemo,cityCode_x,citySidoName,citySggName,equipCode,equipName,chargeCode,chargeName,aptName_y,roadAddr1,roadAddr2,cityCode_y,hbgvCode,ctznCnt,regDate,xlatlng,ylatlng
W1U000,0,중구청,삭제엄금,W1U,대전광역시,중구,11EQUM,개별계량장비,AF,후불,,,,,,,,,
W1U001,1,목동더샾아파트,정한테크(주),W1U,대전광역시,중구,11EQUM,개별계량장비,AF,후불,목동더샵,대전광역시 중구 목동로22번길 16,"(목동, 목동더샵)",,3014010300,693,2016-10-09 19:51:43,127.4103543,36.3336294
W1U002,1,쌍용예가,정한테크(주),W1U,대전광역시,중구,11EQUM,개별계량장비,AF,후불,쌍용예가아파트,대전광역시 중구 평촌로 93,"(태평동, 쌍용예가아파트)",,3014011400,965,2018-05-24 14:18:21,127.3968987,36.3236558
W1U003,1,문화하우스토리2차,정한테크(주),W1U,대전광역시,중구,11EQUM,개별계량장비,AF,후불,하우스토리2차,대전광역시 중구 계룡로 922,"(문화동, 하우스토리2차)",,3014011600,243,2018-05-24 14:20:01,127.4147654,36.3196674
W1U004,1,용두 미르마을,(주)트라이에스,W1U,대전광역시,중구,11EQUM,개별계량장비,AF,후불,미르마을아파트,대전광역시 중구 선화로22번길 25,"(용두동, 미르마을아파트)",,3014011200,1135,2018-07-03 20:37:22,127.4135942,36.3253729
W1U005,1,문화마을 금호어울림,(주)트라이에스,W1U,대전광역시,중구,11EQUM,개별계량장비,AF,후불,문화마을금호어울림아파트,대전광역시 중구 계백로1716번길 40,"(문화동, 문화마을금호어울림아파트)",,3014011600,544,2018-07-03 20:36:10,127.4098492,36.3196782
W1U006,1,선화센트럴뷰아파트(BM),,W1U,대전광역시,중구,11EQUM,개별계량장비,AF,후불,센트럴뷰아파트,대전광역시 중구 중앙로 45,"(선화동, 센트럴뷰아파트)",,3014010200,662,2019-05-27 11:50:51,127.4167335,36.3237929
W1U007,1,유천현대1차(BM),,W1U,대전광역시,중구,11EQUM,개별계량장비,AF,후불,현대아파트,대전광역시 중구 계백로1615번길 34,"(유천동, 현대아파트)",,3014011500,1080,2019-05-27 11:51:57,127.4009067,36.3208971
W1U008,1,푸른뫼벽산아파트(BM),,W1U,대전광역시,중구,11EQUM,개별계량장비,AF,후불,푸른뫼아파트,대전광역시 중구 수침로 122,"(태평동, 푸른뫼아파트)",,3014011400,444,2019-05-27 11:52:36,127.3994137,36.3298283
W1U009,1,큰솔6차아파트,(주)트라이에스,W1U,대전광역시,중구,11EQUM,개별계량장비,AF,후불,큰솔아파트,대전광역시 중구 대둔산로 512,"(유천동, 큰솔아파트)",,3014011500,280,2019-06-18 09:58:32,127.3905203,36.3146753
W1U00A,1,한신휴플러스보르미,(주)트라이에스,W1U,대전광역시,중구,11EQUM,개별계량장비,AF,후불,한신휴플러스보르미아파트,대전광역시 중구 계백로1686번길 16,"(문화동, 한신휴플러스보르미아파트)",,3014011600,255,2019-06-18 10:00:39,127.4064958,36.3200479
W1U00B,1,유등천모아미래도리버뷰,(주)트라이에스,W1U,대전광역시,중구,11EQUM,개별계량장비,AF,후불,유등천모아미래도리버뷰,대전광역시 중구 유등천동로 218,"(산성동, 유등천모아미래도리버뷰)",,3014011700,237,2019-06-18 10:02:41,127.3830989,36.3034626
W1U00C,1,드림스테이(BM),"**추후 주소 수정요망 ** 
용두동 12-1 18번지",W1U,대전광역시,중구,11EQUM,개별계량장비,AF,후불,드림스테이(BM),대전광역시 중구 중앙로 23-17,(용두동),,3014011200,214,2019-07-30 14:47:31,127.4144281,36.32359
W1U00D,1,유등마을쌍용(BM),대전광역시 중구 수침로 138,W1U,대전광역시,중구,11EQUM,개별계량장비,AF,후불,유등마을아파트,대전광역시 중구 수침로 138,"(태평동, 유등마을아파트)",,3014011400,964,2020-04-28 14:46:22,127.3984531,36.3310364
W1U00E,1,삼부1단지(BM),대전광역시 중구 태평로 80,W1U,대전광역시,중구,11EQUM,개별계량장비,AF,후불,삼부아파트1단지,대전광역시 중구 태평로 80,"(태평동, 삼부아파트1단지)",,3014011400,705,2020-04-28 14:48:12,127.3949188,36.3238572
W1U00F,1,센트럴파크1단지(BM),대전광역시 중구 서문로 95,W1U,대전광역시,중구,11EQUM,개별계량장비,AF,후불,센트럴파크1단지아파트,대전광역시 중구 서문로 95,"(문화동, 센트럴파크1단지아파트)",,3014011600,448,2020-04-28 14:49:27,127.40659,36.3165717
W1U010,1,센트럴자이1단지(BM),대전광역시 중구 충무로107번길 100,W1U,대전광역시,중구,11EQUM,개별계량장비,AF,후불,센트럴자이,대전광역시 중구 충무로107번길 100,"(대흥동, 센트럴자이)",,3014010500,874,2020-04-28 14:52:02,127.42775,36.3222413
W1U011,1,금호한사랑(BM),대전광역시 중구 동서대로 1388,W1U,대전광역시,중구,11EQUM,개별계량장비,AF,후불,금호한사랑아파트,대전광역시 중구 동서대로 1388,"(목동, 금호한사랑아파트)",,3014010300,975,2020-04-28 14:53:04,127.4129933,36.3316265
W1U012,1,파라곤아파트(BM),유등천동로 428,W1U,대전광역시,중구,11EQUM,개별계량장비,AF,후불,파라곤아파트,대전광역시 중구 유등천동로 428,"(태평동, 파라곤아파트)",,3014011400,1040,2021-04-08 15:09:22,127.388067,36.3208641
W1U013,1,문화로얄아파트(BM),서문로43번길 39,W1U,대전광역시,중구,11EQUM,개별계량장비,AF,후불,문화로얄아파트,대전광역시 중구 서문로43번길 39,"(문화동, 문화로얄아파트)",,3014011600,212,2021-04-08 15:10:54,127.4060641,36.3122504
W1U014,1,우남스타원(BM),안영로 68,W1U,대전광역시,중구,11EQUM,개별계량장비,AF,후불,성산마을우남스타원아파트,대전광역시 중구 안영로 68,"(사정동, 성산마을우남스타원아파트)",,3014011800,561,2021-04-08 15:11:49,127.3823908,36.2943238
W1U015,1,한밭가든(BM),보문산로 31,W1U,대전광역시,중구,11EQUM,개별계량장비,AF,후불,한밭가든아파트,대전광역시 중구 보문산로 31,"(산성동, 한밭가든아파트)",,3014011700,990,2021-04-08 15:14:25,127.3844589,36.3056442
W1U016,1,유천현대2차아파트(BM),계백로1615번길 34,W1U,대전광역시,중구,11EQUM,개별계량장비,AF,후불,현대아파트,대전광역시 중구 계백로1615번길 34,"(유천동, 현대아파트)",,3014011500,680,2021-04-08 15:17:45,127.4009067,36.3208971
W1UFFF,999,해당없음,삭제엄금,W1U,대전광역시,중구,11EQUM,개별계량장비,AF,후불,,,,,,,,,
