aptCode,aptManage,aptName_x,aptMemo,cityCode_x,citySidoName,citySggName,equipCode,equipName,chargeCode,chargeName,aptName_y,roadAddr1,roadAddr2,cityCode_y,hbgvCode,ctznCnt,regDate,xlatlng,ylatlng
W1X000,0,대덕구청,삭제엄금,W1X,대전광역시,대덕구,11EQUM,개별계량장비,AF,후불,,,,,,,,,
W1X001,1,비래한신휴플러스아파트,,W1X,대전광역시,대덕구,11EQUM,개별계량장비,AF,후불,비래한신휴플러스아파트,,,,3023011000,648,2016-10-09 19:51:43,,
W1X002,1,중리영진로얄아파트,,W1X,대전광역시,대덕구,11EQUM,개별계량장비,AF,후불,영진로얄아파트,대전광역시 대덕구 중리서로 31,"(중리동, 영진로얄아파트)",,3023010900,750,2020-05-28 13:23:37,127.4212361,36.361853
W1X003,1,그린타운아파트,,W1X,대전광역시,대덕구,11EQUM,개별계량장비,AF,후불,그린타운아파트,대전광역시 대덕구 동춘당로 151,"(법동, 그린타운아파트)",,3023010800,1050,2020-05-28 13:23:57,127.4350403,36.3671041
W1X004,1,한밭아파트,,W1X,대전광역시,대덕구,11EQUM,개별계량장비,AF,후불,한밭아파트,대전광역시 대덕구 석봉로58번안길 82,"(석봉동, 한밭아파트)",,3023011100,302,2020-05-28 13:24:21,127.4242359,36.4470168
W1X005,1,나이스팰리스(BM),,W1X,대전광역시,대덕구,11EQUM,개별계량장비,AF,후불,나이스팰리스(BM),대전광역시 대덕구 대전로1032번길 13-13,(오정동),,3023010100,98,2017-12-28 14:01:13,127.417679,36.3479237
W1X006,1,선비마을5단지아파트,(주)솔루션아이티,W1X,대전광역시,대덕구,11EQUM,개별계량장비,AF,후불,선비마을5단지아파트,대전광역시 대덕구 계족산로 136,"(송촌동, 선비마을5단지아파트)",,3023010700,1554,2018-07-09 16:24:23,127.445995,36.3654881
W1X007,1,삼익둥지아파트,(주)솔루션아이티,W1X,대전광역시,대덕구,11EQUM,개별계량장비,AF,후불,삼익둥지아파트,대전광역시 대덕구 신상로 21,"(비래동, 삼익둥지아파트)",,3023011000,425,2018-10-19 09:38:26,127.4557031,36.3565099
W1X008,1,영진로얄맨션,(주)솔루션아이티,W1X,대전광역시,대덕구,11EQUM,개별계량장비,AF,후불,영진로얄맨션,대전광역시 대덕구 대전로1020번길 86,"(오정동, 영진로얄맨션)",,3023010100,120,2018-11-29 11:18:12,127.4200751,36.3497325
W1X009,1,임광하이츠아파트,(주)솔루션아이티,W1X,대전광역시,대덕구,11EQUM,개별계량장비,BF,선불,임광하이츠,대전광역시 대덕구 홍도로135번길 35,"(중리동, 임광하이츠)",,3023010900,59,2018-12-20 10:10:33,127.4251103,36.3580439
W1X00A,1,드림팰리스(BM),,W1X,대전광역시,대덕구,11EQUM,개별계량장비,AF,후불,드림팰리스(BM),대전광역시 대덕구 비래서로10번길 86,(비래동),,3023011000,28,2019-02-13 14:02:52,127.4435693,36.3519131
W1X00B,1,선비마을1단지(BM),,W1X,대전광역시,대덕구,11EQUM,개별계량장비,AF,후불,선비마을1단지아파트,대전광역시 대덕구 계족로690번길 21,"(법동, 선비마을1단지아파트)",,3023010800,1140,2019-05-13 17:36:05,127.4299237,36.3733196
W1X00C,1,선비마을2단지(BM),,W1X,대전광역시,대덕구,11EQUM,개별계량장비,AF,후불,선비마을2단지아파트,대전광역시 대덕구 동춘당로114번길 47,"(송촌동, 선비마을2단지아파트)",,3023010700,1146,2019-05-13 17:36:45,127.4391308,36.3687306
W1X00D,1,소라아파트(BM),,W1X,대전광역시,대덕구,11EQUM,개별계량장비,BF,선불,소라아파트,대전광역시 대덕구 동심1길 103,"(대화동, 소라아파트)",,3023010200,270,2019-05-13 17:37:26,127.4129105,36.3627877
W1X00E,1,안전로얄(BM),,W1X,대전광역시,대덕구,11EQUM,개별계량장비,BF,선불,안전로얄아파트,대전광역시 대덕구 홍도로135번길 121,"(중리동, 안전로얄아파트)",,3023010900,65,2019-06-21 10:47:00,127.4196638,36.3578407
W1X00F,1,비래동현대아파트(BM),대덕구 우암로 394,W1X,대전광역시,대덕구,11EQUM,개별계량장비,AF,후불,현대아파트,대전광역시 대덕구 우암로 394,"(비래동, 현대아파트)",,3023011000,370,2019-08-20 15:18:34,127.4548672,36.3539326
W1X010,1,현대아파트(BM),대전광역시 대덕구 계족로761번길 24,W1X,대전광역시,대덕구,11EQUM,개별계량장비,AF,후불,현대아파트,대전광역시 대덕구 계족로761번길 24,"(읍내동, 현대아파트)",,3023010300,1344,2020-06-04 14:18:58,127.4262737,36.37898
