aptCode,aptManage,aptName_x,aptMemo,cityCode_x,citySidoName,citySggName,equipCode,equipName,chargeCode,chargeName,aptName_y,roadAddr1,roadAddr2,cityCode_y,hbgvCode,ctznCnt,regDate,xlatlng,ylatlng
W1Y000,0,중구청,삭제엄금,W1Y,울산광역시,중구,11EQUM,개별계량장비,AF,후불,,,,,,,,,
W1Y001,1,다운2차아파트,,W1Y,울산광역시,중구,11EQUM,개별계량장비,AF,후불,다운아파트,울산광역시 중구 다운6길 16,"(다운동, 다운아파트)",,3111011200,401,2016-10-09 19:51:43,,
W1Y002,1,한라 그랜드,정한테크㈜,W1Y,울산광역시,중구,11EQUM,개별계량장비,AF,후불,한라그랜드맨션,울산광역시 중구 반구정9길 10,"(반구동, 한라그랜드맨션)",,3111011800,238,2017-04-26 07:03:12,129.3488172,35.557318
W1Y003,1,효성 해링턴 1차,정한테크㈜,W1Y,울산광역시,중구,11EQUM,개별계량장비,AF,후불,효성해링턴 플레이스 1차,울산광역시 중구 번영로 435,"(복산동, 효성해링턴 플레이스 1차)",,3111010300,207,2017-04-26 07:04:24,129.3316537,35.5620915
W1Y004,1,효성 해링턴 2차,정한테크㈜,W1Y,울산광역시,중구,11EQUM,개별계량장비,AF,후불,효성해링턴 플레이스 1차,울산광역시 중구 번영로 435,"(복산동, 효성해링턴 플레이스 1차)",,3111010300,205,2017-04-26 07:05:36,129.3316994,35.562087
W1Y005,1,에일린의뜰 3차,정한테크㈜,W1Y,울산광역시,중구,11EQUM,개별계량장비,AF,후불,에일린의 뜰 3차,울산광역시 중구 종가로 245,"(유곡동, 에일린의 뜰 3차)",,3111011000,685,2017-09-14 17:35:53,,
W1Y006,1,강변 맨션,정한테크㈜,W1Y,울산광역시,중구,11EQUM,개별계량장비,AF,후불,국제강변아파트,울산광역시 중구 신기11길 10-10,"(태화동, 국제강변아파트)",,3111011100,298,2017-04-26 07:06:52,129.2999621,35.5538105
W1Y007,1,우정 혁신도시 푸르지오,정한테크㈜,W1Y,울산광역시,중구,11EQUM,개별계량장비,AF,후불,우정혁신도시 푸르지오,울산광역시 중구 유곡로 80,"(유곡동, 우정혁신도시 푸르지오)",,3111011000,478,2017-09-14 17:39:12,,
W1Y008,1,다운 아파트,정한테크㈜,W1Y,울산광역시,중구,11EQUM,개별계량장비,AF,후불,다운아파트,울산광역시 중구 다운6길 16,"(다운동, 다운아파트)",,3111011200,800,2017-04-26 07:08:37,129.268602,35.5647839
W1Y009,1,다운 현대,정한테크㈜,W1Y,울산광역시,중구,11EQUM,개별계량장비,AF,후불,현대아파트,울산광역시 중구 운곡3길 23,"(다운동, 현대아파트)",,3111011200,279,2017-04-26 07:09:54,129.2731962,35.5597458
W1Y010,1,골드 클래스,정한테크㈜,W1Y,울산광역시,중구,11EQUM,개별계량장비,AF,후불,골드클래스,울산광역시 중구 종가로 760,"(장현동, 골드클래스)",,3111011600,478,2017-04-26 07:10:52,129.345085,35.5878234
W1Y011,1,KCC 스위첸,정한테크㈜,W1Y,울산광역시,중구,11EQUM,개별계량장비,AF,후불,우정혁신도시 KCC스위첸,울산광역시 중구 종가로 668-10,"(서동, 우정혁신도시 KCC스위첸)",,3111011400,424,2017-04-26 07:01:47,,
W1Y012,1,우정 선경2차아파트,정한테크(주),W1Y,울산광역시,중구,11EQUM,개별계량장비,AF,후불,선경2차아파트,울산광역시 중구 유곡로 10,"(우정동, 선경2차아파트)",,3111010800,,2017-04-21 11:16:32,129.3088782,35.5580334
W1Y013,1,다운 삼성아파트,정한테크㈜,W1Y,울산광역시,중구,11EQUM,개별계량장비,AF,후불,삼성아파트,울산광역시 중구 운곡3길 24,"(다운동, 삼성아파트)",,3111011200,282,2017-09-14 18:07:50,,
W1Y014,1,신동아파밀리에,정한테크㈜,W1Y,울산광역시,중구,11EQUM,개별계량장비,AF,후불,울산신동아파밀리에,울산광역시 중구 반구정15길 8,"(반구동, 울산신동아파밀리에)",,3111011800,433,2017-09-14 18:08:23,,
W1Y015,1,복산 평창아파트,정한테크㈜,W1Y,울산광역시,중구,11EQUM,개별계량장비,AF,후불,평창아파트,울산광역시 중구 푸름길 81,"(복산동, 평창아파트)",,3111010300,216,2017-09-14 18:08:47,,
W1Y016,1,유곡e편한세상,정한테크(주),W1Y,울산광역시,중구,11EQUM,개별계량장비,AF,후불,이편한세상,울산광역시 중구 평동3길 2,"(유곡동, 이편한세상)",,3111011000,656,2017-05-18 18:19:48,129.3024799,35.5601869
W1Y017,1,선경1차,정한테크㈜,W1Y,울산광역시,중구,11EQUM,개별계량장비,AF,후불,선경1차아파트,울산광역시 중구 우정3길 9,"(우정동, 선경1차아파트)",,3111010800,866,2017-09-14 18:10:07,,
W1Y018,1,학성아파트,정한테크㈜,W1Y,울산광역시,중구,11EQUM,개별계량장비,AF,후불,학성아파트,울산광역시 중구 학성1길 46-1,"(학성동, 학성아파트)",,3111010100,274,2017-09-14 18:11:19,129.3320218,35.5572532
W1Y019,1,신동아파밀리에(오피스텔),정한테크㈜,W1Y,울산광역시,중구,11EQUM,개별계량장비,AF,후불,울산신동아파밀리에,울산광역시 중구 반구정15길 8,"(반구동, 울산신동아파밀리에)",,3111011800,1,2017-09-14 18:10:36,,
W1Y020,1,현대글로리아,정한테크㈜,W1Y,울산광역시,중구,11EQUM,개별계량장비,AF,후불,현대글로리아맨션,울산광역시 중구 반구로 58,"(반구동, 현대글로리아맨션)",,3111011800,112,2018-04-14 09:24:55,129.3471914,35.5543542
W1Y021,1,창조메리트,정한테크㈜,W1Y,울산광역시,중구,11EQUM,개별계량장비,AF,후불,창조메리트,울산광역시 중구 화합로 415,"(반구동, 창조메리트)",,3111011800,47,2018-04-14 09:25:40,129.3373734,35.5620892
W1Y022,1,신한그린맨션,정한테크㈜,W1Y,울산광역시,중구,11EQUM,개별계량장비,AF,후불,신한그린맨션,울산광역시 중구 손골9길 38,"(복산동, 신한그린맨션)",,3111010300,198,2018-04-14 09:26:26,129.3241345,35.5648891
W1Y023,1,경동햇빛마을,정한테크㈜,W1Y,울산광역시,중구,11EQUM,개별계량장비,AF,후불,경동햇빛마을,울산광역시 중구 함월11길 10,"(성안동, 경동햇빛마을)",,3111010900,180,2018-04-14 09:27:18,129.3072911,35.5748779
W1Y024,1,성안금호타운,정한테크㈜,W1Y,울산광역시,중구,11EQUM,개별계량장비,AF,후불,금호어울림,울산광역시 중구 함월5길 35,"(성안동, 금호어울림)",,3111010900,426,2018-04-14 09:27:58,129.305025,35.575992
W1Y025,1,경동윈츠힐1차,정한테크㈜,W1Y,울산광역시,중구,11EQUM,개별계량장비,AF,후불,윈츠힐,울산광역시 중구 함월11길 21-10,"(성안동, 윈츠힐)",,3111010900,83,2018-04-14 09:28:45,129.307441,35.5731808
W1Y026,1,마제스타워1차,정한테크㈜,W1Y,울산광역시,중구,11EQUM,개별계량장비,AF,후불,마제스타워,울산광역시 중구 학성로 1,"(우정동, 마제스타워)",,3111010800,398,2018-04-14 09:29:46,129.311975,35.5532667
W1Y027,1,유곡푸르지오,정한테크㈜,W1Y,울산광역시,중구,11EQUM,개별계량장비,AF,후불,푸르지오,울산광역시 중구 평동3길 1,"(유곡동, 푸르지오)",,3111011000,911,2018-04-14 09:31:23,129.3046325,35.5608427
W1Y028,1,삼익세라믹아파트(101동),정한테크㈜,W1Y,울산광역시,중구,11EQUM,개별계량장비,AF,후불,삼익세라믹,울산광역시 중구 신기12길 12,"(태화동, 삼익세라믹)",,3111011100,96,2018-04-14 09:32:02,129.298995,35.5527026
W1Y029,1,삼익세라믹아파트(102동),정한테크㈜,W1Y,울산광역시,중구,11EQUM,개별계량장비,AF,후불,삼익세라믹아파트,울산광역시 중구 신기13길 2,"(태화동, 삼익세라믹아파트)",,3111011100,118,2018-04-14 09:32:40,129.2986125,35.5523901
W1Y030,1,삼익세라믹아파트(103동),정한테크㈜,W1Y,울산광역시,중구,11EQUM,개별계량장비,AF,후불,삼익세라믹아파트,울산광역시 중구 신기12길 4,"(태화동, 삼익세라믹아파트)",,3111011100,120,2018-04-14 09:33:17,129.2996835,35.5522445
W1Y031,1,경동윈츠힐2차,정한테크(주),W1Y,울산광역시,중구,11EQUM,개별계량장비,AF,후불,윈츠힐2차,울산광역시 중구 함월10길 17,"(성안동, 윈츠힐2차)",,3111010900,60,2018-05-07 10:56:27,129.3087611,35.5738916
W1Y032,1,양지동산맨션,(주)솔루션아이티,W1Y,울산광역시,중구,11EQUM,개별계량장비,AF,후불,양지동산맨션,울산광역시 중구 신기11길 22,"(태화동, 양지동산맨션)",,3111011100,240,2018-05-08 17:52:47,129.29895,35.5539
W1Y033,1,삼익세라믹아파트101동,(주)솔루션아이티,W1Y,울산광역시,중구,11EQUM,개별계량장비,AF,후불,삼익세라믹아파트,울산광역시 중구 병영성4길 29,"(남외동, 삼익세라믹아파트)",,3111011500,124,2018-05-08 17:53:31,129.3410136,35.5753222
W1Y034,1,정림탑스빌,(주)솔루션아이티,W1Y,울산광역시,중구,11EQUM,개별계량장비,AF,후불,정림탑스빌,울산광역시 중구 장춘로 164,"(학산동, 정림탑스빌)",,3111010200,113,2018-05-08 17:54:45,129.3262663,35.558557
W1Y035,1,우정혁신LH2단지,(주)솔루션아이티,W1Y,울산광역시,중구,11EQUM,개별계량장비,AF,후불,우정혁신LH2단지,울산광역시 중구 종가로 142,"(태화동, 우정혁신LH2단지)",,3111011100,536,2018-05-08 17:55:32,129.2922099,35.5598202
W1Y036,1,우정혁신LH3단지,(주)솔루션아이티,W1Y,울산광역시,중구,11EQUM,개별계량장비,AF,후불,우정혁신 LH 3단지,울산광역시 중구 유곡로 99,"(태화동, 우정혁신 LH 3단지)",,3111011100,492,2018-05-08 17:56:12,129.2972612,35.5588981
