aptCode,aptManage,aptName_x,aptMemo,cityCode_x,citySidoName,citySggName,equipCode,equipName,chargeCode,chargeName,aptName_y,roadAddr1,roadAddr2,cityCode_y,hbgvCode,ctznCnt,regDate,xlatlng,ylatlng
W2A000,0,의정부시청,삭제엄금,W2A,경기도,의정부시,11EQUM,개별계량장비,AF,후불,,,,,,,,,
W2A001,1,금오주공3차,820세대 4거점 12대,W2A,경기도,의정부시,11EQUM,개별계량장비,BF,선불,금오주공3차,경기 의정부시 청사로48번길 26,,,4115058000,820,2016-10-09 19:51:43,127.0718764267,37.7528405808
W2A002,1,삼도 세라믹 아파트,480세대 2거점 8대,W2A,경기도,의정부시,11EQUM,개별계량장비,AF,후불,삼도 세라믹 아파트,경기 의정부시 장금로 54,,,4115010400,481,2016-10-09 19:51:43,127.0601598338,37.7415940045
W2A003,1,민락푸르지오,신축아파트,W2A,경기도,의정부시,11EQUM,개별계량장비,BF,선불,민락푸르지오,,,,4115010600,706,2016-10-09 19:51:43,,
W2A004,1,한화꿈에그린(BM),가능동 846,W2A,경기도,의정부시,11EQUM,개별계량장비,BF,선불,꿈에그린푸르미마을,경기도 의정부시 호국로 1161,"(가능동, 꿈에그린푸르미마을)",,4115011000,362,2016-10-09 19:51:43,127.0332935,37.7434856
W2A005,1,민락LH2단지휴스토리,2016년 8월 LH 신축 장비 12대,W2A,경기도,의정부시,11EQUM,개별계량장비,BF,선불,엘에이치휴스토리,경기도 의정부시 오목로 252,"(낙양동, 엘에이치휴스토리)",,4115010700,812,2016-10-09 19:51:43,127.1013447,37.7487501
W2A006,1,민락LH13단지,2016년 9월 LH 직접발주 14대설치,W2A,경기도,의정부시,11EQUM,개별계량장비,BF,선불,용암마을13단지,경기도 의정부시 용민로 429-39,"(낙양동, 용암마을13단지)",,4115010700,996,2020-04-14 10:24:03,127.1162354,37.758304
W2A007,1,금강펜테리움,2016년 11월 장원조경 신축 12대,W2A,경기도,의정부시,11EQUM,개별계량장비,BF,선불,금강펜테리움,경기도 의정부시 용민로 263,"(낙양동, 금강펜테리움)",,4115010700,716,2020-04-14 10:31:16,127.099039,37.7505235
W2A008,1,호반베르디움1차(BM),,W2A,경기도,의정부시,11EQUM,개별계량장비,BF,선불,호반베르디움1차,경기도 의정부시 오목로 227,(민락동),,4115010600,3000,2017-06-27 11:31:54,127.099744,37.7463592
W2A009,1,호반베르디움2차(BM),,W2A,경기도,의정부시,11EQUM,개별계량장비,BF,선불,호반베르디움2차(BM),경기도 의정부시 송양로 16,(낙양동),,4115010700,4800,2017-07-12 14:04:47,127.107565,37.7527438
W2A010,1,민락-호반베르디움3차,㈜콘포테크,W2A,경기도,의정부시,11EQUM,개별계량장비,BF,선불,민락2지구 18단지 호반베르디움,경기도 의정부시 송양로 93,"(민락동, 민락2지구 18단지 호반베르디움)",,4115010600,463,2020-04-14 10:29:09,127.1168299,37.7511619
W2A011,1,반도유보라,2017년 08월 신축 20대,W2A,경기도,의정부시,11EQUM,개별계량장비,BF,선불,반도유보라 아이비파크,경기도 의정부시 용민로 304,"(낙양동, 반도유보라 아이비파크)",,4115010700,939,2020-04-14 10:31:52,127.1034196,37.7506086
W2A012,1,호원행복주택,2017년 08월 신축 4대,W2A,경기도,의정부시,11EQUM,개별계량장비,BF,선불,의정부호원행복주택,경기도 의정부시 평화로 399-8,"(호원동, 의정부호원행복주택)",,4115010200,200,2020-04-14 10:31:50,127.0477141,37.7280139
W2A013,1,민락엘레트아파트,2017년 08월 신축 29대,W2A,경기도,의정부시,11EQUM,개별계량장비,BF,선불,민락웰시티아파트,경기도 의정부시 송양로 94,(민락동),,4115010600,1540,2017-10-24 16:45:43,,
W2A014,1,LH행복주택아파트,(주)콘포테크,W2A,경기도,의정부시,11EQUM,개별계량장비,BF,선불,LH행복주택아파트,경기도 의정부시 용민로 373-17,(낙양동),,4115010700,812,2017-09-26 13:45:52,,
W2A015,1,민락라디언트캐슬(BM),주소추후수정예정,W2A,경기도,의정부시,11EQUM,개별계량장비,BF,선불,민락라디언트캐슬(BM),경기도 의정부시 용민로 419,(낙양동),,4115010700,992,2018-06-29 15:44:38,127.1144425,37.7558246
W2A016,1,민락우미린더스카이(BM),,W2A,경기도,의정부시,11EQUM,개별계량장비,BF,선불,민락우미린더스카이(BM),경기도 의정부시 송양로 76,(민락동),,4115010600,732,2018-08-03 15:20:25,127.1143862,37.7527052
W2A017,1,대광로제비앙(BM),,W2A,경기도,의정부시,11EQUM,개별계량장비,BF,선불,대광로제비앙(BM),경기도 의정부시 용민로 373-20,(낙양동),,4115010700,420,2018-10-04 10:12:06,127.1091913,37.7559997
W2A018,1,LH 5단지 행복주택 (BM),단지명 추후 수정예정,W2A,경기도,의정부시,11EQUM,개별계량장비,BF,선불,LH 5단지 행복주택 (BM),경기도 의정부시 본원로46번길 16,(녹양동),,4115011100,423,2018-10-10 13:30:13,,
W2A019,1,힐스테이트녹양역(BM),,W2A,경기도,의정부시,11EQUM,개별계량장비,BF,선불,힐스테이트녹양역,경기도 의정부시 가금로34번길 23,(가능동),,4115011000,760,2018-11-02 11:40:08,,
