aptCode,aptManage,aptName_x,aptMemo,cityCode_x,citySidoName,citySggName,equipCode,equipName,chargeCode,chargeName,aptName_y,roadAddr1,roadAddr2,cityCode_y,hbgvCode,ctznCnt,regDate,xlatlng,ylatlng
W2D000,0,행복한마을 금호어울림,,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,,,,,,,,,
W2D001,1,푸른마을창보밀레시티,,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,푸른마을창보밀레시티,경기 부천시 원미구 송내대로205번길 70,,,4119510900,330,2016-10-09 19:51:43,,
W2D002,1,푸른마을 한라비발디,,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,푸른마을 한라비발디,경기 부천시 원미구 송내대로205번길 26,,,4119510900,382,2016-10-09 19:51:43,,
W2D003,1,하얀마을 현대아이파크,,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,하얀마을 현대아이파크,경기 부천시 원미구 조마루로 84,,,4119510900,511,2016-10-09 19:51:43,,
W2D004,1,하얀마을 주공뜨란채,,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,하얀마을 주공뜨란채,경기 부천시 원미구 조마루로 104,,,4119510900,636,2016-10-09 19:51:43,,
W2D005,1,행복한마을한양아파트,,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,행복한마을한양아파트,경기 부천시 원미구 조마루로 47,,,4119510900,396,2016-10-09 19:51:43,,
W2D006,1,행복한마을 금호어울림,,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,행복한마을 금호어울림,경기 부천시 원미구 소향로 18,,,4119510900,422,2016-10-09 19:51:43,,
W2D007,1,행복한마을 서해그랑블,,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,행복한마을 서해그랑블,경기 부천시 원미구 상동로 57,,,4119510900,402,2016-10-09 19:51:43,,
W2D008,1,부천상동경남아너스빌,,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,부천상동경남아너스빌,경기 부천시 원미구 부흥로 109,,,4119510900,414,2016-10-09 19:51:43,,
W2D009,1,원미두산아파트,정한테크(주),W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,원미두산아파트,,,,4119510100,820,2016-10-09 19:51:43,,
W2D010,1,덕유마을3단지,정한테크㈜,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,덕유마을3단지,,,,4119510800,852,2016-10-09 19:51:43,,
W2D011,1,한아름2차아파트,정한테크㈜,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,한아름2차아파트,경기도 부천시 부흥로 100,"(상동, 한아름마을 동성,동아,삼환아파트)",,4119010900,476,2016-10-09 19:51:43,126.7525235,37.4968704
W2D012,1,백송마을LGSK,정한테크㈜,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,백송마을LGSK,,,,4119510900,496,2016-10-09 19:51:43,,
W2D013,1,진달래마을 신동아,정한테크㈜,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,진달래마을 신동아,,,,4119510900,256,2016-10-09 19:51:43,,
W2D014,1,다정한마을 금강KCC,정한테크㈜,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,다정한마을 금강KCC,,,,4119510900,560,2016-10-09 19:51:43,,
W2D015,1,범박힐스테이트 1단지,정한테크㈜,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,범박힐스테이트 1단지,,,,4119710300,1070,2016-10-09 19:51:43,,
W2D016,1,범박휴먼시아 2단지,정한테크㈜,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,범박휴먼시아 2단지,,,,4119710300,672,2016-10-09 19:51:43,,
W2D017,1,소사주공3단지아파트,정한테크㈜,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,소사주공3단지아파트,,,,4119710100,348,2016-10-09 19:51:43,,
W2D018,1,중동역푸르지오1차,정한테크㈜,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,중동역푸르지오1차,,,,4119710500,1001,2016-10-09 19:51:43,,
W2D019,1,동문굿모닝힐아파트,정한테크㈜,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,동문굿모닝힐아파트,,,,4119910100,216,2016-10-09 19:51:43,,
W2D020,1,세종1차아파트,정한테크㈜,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,세종1차아파트,,,,4119910100,90,2016-10-09 19:51:43,,
W2D021,1,오정휴먼시아2단지,정한테크㈜,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,오정휴먼시아2단지,,,,4119910100,501,2016-10-09 19:51:43,,
W2D022,1,오정휴먼시아3단지,정한테크㈜,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,오정휴먼시아3단지,,,,4119910100,550,2016-10-09 19:51:43,,
W2D023,1,서원아파트,정한테크㈜,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,서원아파트,,,,4119910500,160,2016-10-09 19:51:43,,
W2D024,1,풍림아파트,(주)트라이에스,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,풍림아파트,경기도 부천시 원미로 100,"(원미동, 풍림아파트)",,4119010100,808,2017-09-27 23:14:35,,
W2D025,1,두산위브 트레지움1단지,㈜트라이에스,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,두산위브 트레지움아파트 1단지,경기도 부천시 수도로 18,"(약대동, 두산위브 트레지움아파트 1단지)",,4119010500,620,2017-09-29 08:13:23,126.7681106,37.5119849
W2D026,1,무지개마을 LG아파트,㈜트라이에스,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,무지개마을 LG아파트,경기도 부천시 중동로 187,"(중동, 무지개마을 LG아파트)",,4119010800,390,2017-09-29 08:14:02,126.7665649,37.4966879
W2D027,1,한아름마을 현대1차,㈜트라이에스,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,한아름마을 현대1차,경기도 부천시 장말로 71,"(상동, 한아름마을 라이프,현대1차아파트)",,4119010900,1236,2017-09-29 08:14:36,126.7496702,37.4953918
W2D028,1,한아름마을 한국아파트,㈜트라이에스,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,한아름마을 한국아파트,경기도 부천시 부흥로 102,"(상동, 한아름마을 한국아파트)",,4119010900,500,2017-09-29 08:15:07,126.7545702,37.4967573
W2D029,1,백송마을 동남디아망,㈜트라이에스,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,백송마을 동남디아망,경기도 부천시 부흥로 71,"(상동, 백송마을 동남디아망)",,4119010900,582,2017-09-29 08:15:38,126.7505136,37.4980727
W2D030,1,백송마을 상동자이,㈜트라이에스,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,백송마을 상동자이,경기도 부천시 조마루로 48,"(상동, 백송마을 상동자이)",,4119010900,476,2017-09-29 08:16:11,126.7487043,37.5004658
W2D031,1,목련마을 상록아파트,㈜트라이에스,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,목련마을 상록아파트,경기도 부천시 신상로 91,"(상동, 목련마을 상록아파트)",,4119010900,670,2017-09-29 08:16:47,126.747491,37.4957506
W2D032,1,다정한마을 삼성래미안,㈜트라이에스,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,다정한마을 삼성래미안아파트,경기도 부천시 평천로 616,"(상동, 다정한마을 삼성래미안아파트)",,4119010900,718,2017-09-29 08:17:16,126.7589665,37.514451
W2D033,1,욱일3차,㈜트라이에스,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,욱일아파트,경기도 부천시 송내대로30번길 38,"(송내동, 욱일아파트)",,4119011400,120,2017-09-29 08:17:48,126.755217,37.4853641
W2D034,1,송내복사골 뜨란채,㈜트라이에스,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,송내복사골뜨란채아파트,경기도 부천시 경인로10번길 25-32,"(송내동, 송내복사골뜨란채아파트)",,4119011400,301,2017-09-29 08:18:19,126.7561385,37.481183
W2D035,1,중동역2차 푸르지오,㈜트라이에스,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,부천 중동역 2차 푸르지오 A단지,경기도 부천시 경인로117번길 27,"(송내동, 부천 중동역 2차 푸르지오 A단지)",,4119011400,538,2017-09-29 08:19:04,126.7673286,37.485272
W2D036,1,우방 유쉘,㈜트라이에스,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,부천 우방 유쉘아파트,경기도 부천시 경인로134번길 16,"(송내동, 부천 우방 유쉘아파트)",,4119011400,142,2017-09-29 08:19:39,126.7695,37.4834679
W2D037,1,소사주공1단지,㈜트라이에스,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,소사주공1단지아파트,경기도 부천시 소사로78번길 70,"(소사본동, 소사주공1단지아파트)",,4119011000,1210,2017-09-29 08:20:12,126.8021906,37.4683286
W2D038,1,소사주공4단지,㈜트라이에스,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,소사주공뜨란채4단지아파트,경기도 부천시 소사동로72번길 32,"(소사본동, 소사주공뜨란채4단지아파트)",,4119011000,729,2017-09-29 08:20:39,126.8029537,37.47147
W2D039,1,소새울KCC스위첸,㈜트라이에스,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,소새울KCC스위첸,경기도 부천시 은성로67번길 12,"(소사본동, 소새울KCC스위첸)",,4119011000,119,2017-09-29 08:21:09,126.7991641,37.4758647
W2D040,1,염광아파트,㈜트라이에스,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,염광아파트,경기도 부천시 안곡로16번길 47,"(괴안동, 염광아파트)",,4119011300,382,2017-09-29 08:21:37,126.8048303,37.4762234
W2D041,1,범박힐스테이트3단지,㈜트라이에스,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,부천범박힐스테이트3단지아파트,경기도 부천시 범안로95번길 32,"(범박동, 부천범박힐스테이트3단지아파트)",,4119011200,1012,2017-09-29 08:22:09,126.8106029,37.4730533
W2D042,1,LH옥길브리즈힐,㈜트라이에스,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,엘에이치옥길브리즈힐,경기도 부천시 옥길로 80,"(옥길동, 엘에이치옥길브리즈힐)",,4119011500,1304,2017-09-29 08:22:55,126.8207859,37.4638361
W2D043,1,LH옥길헤일라움,㈜트라이에스,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,엘에이치옥길헤일라움,경기도 부천시 양지로 234-26,"(옥길동, 엘에이치옥길헤일라움)",,4119011500,924,2017-09-29 08:23:26,126.8252394,37.4647644
W2D044,1,범박힐스테이트5단지,㈜트라이에스,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,부천범박힐스테이트5단지아파트,경기도 부천시 범안로 130-27,"(범박동, 부천범박힐스테이트5단지아파트)",,4119011200,836,2017-09-29 08:23:48,126.8082501,37.4689599
W2D045,1,영화아파트,㈜트라이에스,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,영화아파트,경기도 부천시 상오정로182번길 53,"(원종동, 영화아파트)",,4119012000,228,2017-09-29 08:24:09,126.7999519,37.5289568
W2D046,1,부천중동스타팰리움,(주)솔루션아이티,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,스타팰리움,경기도 부천시 부흥로 339,"(중동, 스타팰리움)",,4119010800,275,2017-10-26 11:59:40,,
W2D047,1,상동동양파라곤주상복합,,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,상동 동양 파라곤,경기도 부천시 상동로 78,"(상동, 상동 동양 파라곤)",,4119010900,113,2018-05-09 16:12:32,126.7531761,37.5040575
W2D048,1,부천동센트레빌1단지,정한테크㈜,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,동부센트레빌1단지아파트,경기도 부천시 지봉로77번길 35,"(역곡동, 동부센트레빌1단지아파트)",,4119010700,361,2018-07-27 08:30:18,126.8061501,37.4885303
W2D049,1,삼환한진아파트,정한테크㈜,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,삼환한진아파트,경기도 부천시 옥산로 83,"(중동, 꿈마을 삼환,한진아파트)",,4119010800,698,2018-07-27 08:34:22,126.7793527,37.5018169
W2D050,1,부천아이파크1단지,정한테크㈜,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,부천아이파크,경기도 부천시 평천로 679,(약대동),,4119010500,1613,2018-07-27 08:34:42,126.7656198,37.515614
W2D051,1,풍림아이원아파트,정한테크㈜,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,백송마을 풍림아이원,경기도 부천시 부흥로 49,"(상동, 백송마을 풍림아이원)",,4119010900,812,2018-07-27 08:35:09,126.7487857,37.4987074
W2D052,1,동원아파트,정한테크㈜,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,한아름마을 동원아파트,경기도 부천시 장말로 107-1,"(상동, 한아름마을 동원아파트)",,4119010900,296,2018-07-27 08:35:30,126.7544814,37.4956481
W2D053,1,서해아파트,정한테크㈜,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,라일락마을 서해그랑블,경기도 부천시 상동로117번길 22,"(상동, 라일락마을 서해그랑블)",,4119010900,454,2018-07-27 08:35:50,126.752403,37.5091753
W2D054,1,대우유림아파트,정한테크㈜,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,대우유림아파트,경기도 부천시 상동로117번길 64,"(상동, 라일락마을 대우이안,유림아파트)",,4119010900,572,2018-07-27 08:36:11,126.7501751,37.5089816
W2D055,1,파인푸르지오1단지,정한테크㈜,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,송내역파인푸르지오 1단지,경기도 부천시 송내대로 16,"(송내동, 송내역파인푸르지오 1단지)",,4119011400,353,2018-07-27 08:36:31,126.7536611,37.4849714
W2D056,1,파인푸르지오2단지,정한테크㈜,W2D,경기도,부천시,11EQUM,개별계량장비,BF,선불,송내역파인푸르지오 2단지,경기도 부천시 송내대로 14,"(송내동, 송내역파인푸르지오 2단지)",,4119011400,186,2018-07-27 08:36:49,126.753555,37.4845125
