aptCode,aptManage,aptName_x,aptMemo,cityCode_x,citySidoName,citySggName,equipCode,equipName,chargeCode,chargeName,aptName_y,roadAddr1,roadAddr2,cityCode_y,hbgvCode,ctznCnt,regDate,xlatlng,ylatlng
W2H000,0,평택시,,W2H,경기도,평택시,11EQUM,개별계량장비,AF,후불,,,,,,,,,
W2H001,1,한성,,W2H,경기도,평택시,11EQUM,개별계량장비,AF,후불,한성,경기 평택시 평택5로 254,,,4122062000,495,2016-10-09 19:51:43,127.0973038372,37.0008641809
W2H002,1,동아동백,,W2H,경기도,평택시,11EQUM,개별계량장비,AF,후불,동아동백,경기 평택시 매봉산1길 16,,,4122063000,223,2016-10-09 19:51:43,127.1085548271,36.9985310387
W2H004,1,럭키덕동,,W2H,경기도,평택시,11EQUM,개별계량장비,AF,후불,럭키덕동,경기 평택시 평택4로 124,,,4122062000,507,2016-10-09 19:51:43,127.1041544306,36.9975338789
W2H005,1,은행,,W2H,경기도,평택시,11EQUM,개별계량장비,AF,후불,은행,경기 평택시 평택5로 228,,,4122062000,308,2016-10-09 19:51:43,127.1003907299,36.9994503433
W2H007,1,태산그린,,W2H,경기도,평택시,11EQUM,개별계량장비,AF,후불,태산그린,경기 평택시 매봉산1길 11,,,4122062000,525,2016-10-09 19:51:43,127.1059292521,36.9977020431
W2H00D,1,세교 부영1차,,W2H,경기도,평택시,11EQUM,개별계량장비,AF,후불,세교 부영1차,경기 평택시 세교공원로 66,,,4122064000,1614,2016-10-09 19:51:43,127.0846469318,37.0032544429
W2H010,1,동삭 이안,,W2H,경기도,평택시,11EQUM,개별계량장비,AF,후불,동삭 이안,경기 평택시 동삭로 371,,,4122064000,263,2016-10-09 19:51:43,127.0947214287,37.0194339702
W2H012,1,동삭현대,,W2H,경기도,평택시,11EQUM,개별계량장비,AF,후불,동삭현대,경기 평택시 동삭로 386,,,4122064000,624,2016-10-09 19:51:43,127.0971922401,37.019884085
W2H019,1,용이 푸르지오 2차,,W2H,경기도,평택시,11EQUM,개별계량장비,AF,후불,용이 푸르지오 2차,경기 평택시 현신3길 76,,,4122063000,949,2016-10-09 19:51:43,127.1412206785,36.9972099965
