aptCode,aptManage,aptName_x,aptMemo,cityCode_x,citySidoName,citySggName,equipCode,equipName,chargeCode,chargeName,aptName_y,roadAddr1,roadAddr2,cityCode_y,hbgvCode,ctznCnt,regDate,xlatlng,ylatlng
W2V000,0,의왕시,,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,,,,,,,,,
W2V001,1,모락산-현대아파트,,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,모락산현대아파트,경기도 의왕시 원골로 43,"(오전동, 모락산현대아파트)",,4143010500,1614,2016-10-09 19:51:43,126.9689343,37.3618385
W2V002,2,운양까치,운양까치,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,까치아파트,경기도 의왕시 까치골길 7,"(삼동, 까치아파트)",,4143010300,178,2016-10-09 19:51:43,126.9548363,37.3166344
W2V003,3,새천년미주,새천년미주,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,새천년미주아파트,경기도 의왕시 부곡복지관길 40,"(삼동, 새천년미주아파트)",,4143010300,299,2016-10-09 19:51:43,126.9571835,37.3242437
W2V004,4,우성5차,우성5차,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,우성5차,경기 의왕시 부곡초등1길 16,,,4143052000,0,2016-10-09 19:51:43,126.9524261079,37.3157048081
W2V005,5,우성6차,우성6차,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,우성6차,경기 의왕시 부곡초등1길 6,,,4143052000,0,2016-10-09 19:51:43,126.9521673312,37.3155954443
W2V006,6,장미,장미,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,장미아파트,경기도 의왕시 부곡복지관길 27,"(삼동, 장미아파트)",,4143010300,520,2016-10-09 19:51:43,126.955566,37.3229215
W2V007,7,효성청솔,효성청솔,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,효성청솔,경기 의왕시 부곡시장길 63,,,4143052000,472,2016-10-09 19:51:43,126.9553996,37.3192012
W2V008,8,삼호1차 한아름,삼호1차 한아름,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,한아름아파트,경기도 의왕시 까치골길 8,"(삼동, 한아름아파트)",,4143010300,211,2016-10-09 19:51:43,126.956094,37.3167123
W2V009,9,삼호2차 한아름,삼호2차 한아름,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,한아름아파트,경기도 의왕시 까치골길 20,"(삼동, 한아름아파트)",,4143010300,267,2016-10-09 19:51:43,126.9558054,37.3179349
W2V010,10,대우이안,대우이안,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,부곡대우이안아파트,경기도 의왕시 부곡복지관길 34,"(삼동, 부곡대우이안아파트)",,4143010300,688,2016-10-09 19:51:43,126.9569057,37.3232037
W2V011,11,장안마을주공,장안마을주공,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,장안마을주공아파트,경기도 의왕시 신장승길 12,"(삼동, 장안마을주공아파트)",,4143010300,467,2016-10-09 19:51:43,126.9558,37.3198
W2V012,12,한진로즈힐,한진로즈힐,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,해모로 아파트,경기도 의왕시 모락로 89-15,"(오전동, 해모로 아파트)",,4143010500,998,2016-10-09 19:51:43,126.9664964,37.3641365
W2V013,13,대명구름채,대명구름채,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,대명구름채아파트,경기도 의왕시 포도원로 46,"(오전동, 대명구름채아파트)",,4143010500,518,2016-10-09 19:51:43,126.9669881,37.3619104
W2V014,14,쌍용개나리,쌍용개나리,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,개나리아파트,경기도 의왕시 오전로 43,"(오전동, 개나리아파트)",,4143010500,166,2016-10-09 19:51:43,126.9806294,37.3497798
W2V015,15,뉴서울국화,뉴서울국화,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,국화아파트,경기도 의왕시 원골로 13,"(오전동, 국화아파트)",,4143010500,227,2016-10-09 19:51:43,126.9668682,37.3587906
W2V016,16,동백,동백,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,동백아파트,경기도 의왕시 오전로 150,"(오전동, 동백아파트)",,4143010500,1074,2016-10-09 19:51:43,126.9711254,37.3564228
W2V017,17,미라보매화,미라보매화,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,매화아파트,경기도 의왕시 오전로 208,"(오전동, 매화아파트)",,4143010500,265,2016-10-09 19:51:43,126.9681432,37.3597667
W2V018,18,목련풍림아파트,목련풍림아파트,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,목련아파트,경기도 의왕시 오전로 163,"(오전동, 목련아파트)",,4143010500,354,2016-10-09 19:51:43,126.9706351,37.3550988
W2V019,19,무궁화선경,무궁화선경,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,무궁화아파트,경기도 의왕시 오전로 63,"(오전동, 무궁화아파트)",,4143010500,370,2016-10-09 19:51:43,126.9793196,37.3511435
W2V020,20,삼호백조,삼호백조,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,삼호백조,경기도 의왕시 모란길 34,(오전동),,4143010500,265,2016-10-09 19:51:43,126.9761826,37.3523368
W2V021,21,삼신7차,삼신7차,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,삼신7차, 오전동 산83-1,,,4143010500,941,2016-10-09 19:51:43,126.963995,37.3612816
W2V022,22,신미주해당화,신미주해당화,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,신미주해당화,경기 의왕시 보식골로 30,,,4143010500,0,2016-10-09 19:51:43,126.9716488796,37.3587520314
W2V023,23,신안,신안,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,신안,경기 의왕시 원골로 10,,,4143010500,0,2016-10-09 19:51:43,126.9676099296,37.3582381636
W2V024,24,신원수선화,신원수선화,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,신원수선화아파트,경기도 의왕시 모락로 89-16,"(오전동, 신원수선화아파트)",,4143010500,389,2016-10-09 19:51:43,126.9653456,37.3656154
W2V025,25,KT이자리에,KT이자리에,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,KT이자리에,경기 의왕시 전주남이길 8,,,4143010500,0,2016-10-09 19:51:43,126.9752890462,37.3500519016
W2V026,26,이화성원1차,이화성원1차,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,성원1차이화아파트,경기도 의왕시 보식골로 6,"(오전동, 성원1차이화아파트)",,4143010500,520,2016-10-09 19:51:43,126.9704593,37.3584741
W2V027,27,이화성원2차,이화성원2차,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,성원이화아파트,경기도 의왕시 보식골로 13,"(오전동, 성원이화아파트)",,4143010500,201,2016-10-09 19:51:43,126.9693432,37.3595016
W2V028,28,이삭민들레,이삭민들레,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,민들레베스파트,경기도 의왕시 오전천로 54,"(오전동, 민들레베스파트)",,4143010500,369,2016-10-09 19:51:43,126.9798122,37.3493485
W2V029,29,백합아파트,백합아파트,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,백합아파트,경기도 의왕시 오전로 179,"(오전동, 백합아파트)",,4143010500,460,2016-10-09 19:51:43,126.9696196,37.3560891
W2V030,30,진달래,진달래,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,진달래아파트,경기도 의왕시 호성로 48-7,"(오전동, 진달래아파트)",,4143010500,566,2016-10-09 19:51:43,126.9659449,37.3669034
W2V031,31,모락산동문,모락산동문,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,의왕모락산동문굿모닝힐아파트,경기도 의왕시 전주남이4길 17,"(오전동, 의왕모락산동문굿모닝힐아파트)",,4143010500,176,2016-10-09 19:51:43,126.9760486,37.3517167
W2V032,32,대명솔채,대명솔채,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,대명솔채,경기 의왕시 보식골로 17,,,4143010500,0,2016-10-09 19:51:43,126.9703540804,37.3598188805
W2V033,33,영광,영광,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,영광,경기 의왕시 당뿌리로 31,,,4143051000,0,2016-10-09 19:51:43,126.9777381537,37.3485664492
W2V034,34,인스빌,인스빌,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,인스빌아파트1단지,경기도 의왕시 왕곡로 55,"(왕곡동, 인스빌아파트1단지)",,4143010400,276,2016-10-09 19:51:43,126.9807875,37.3467071
W2V035,35,솔거,솔거,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,솔거아파트,경기도 의왕시 위인로 20,"(왕곡동, 솔거아파트)",,4143010400,498,2016-10-09 19:51:43,126.9775594,37.3439209
W2V036,36,원효,원효,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,원효아파트,경기도 의왕시 위인로 2,"(왕곡동, 원효아파트)",,4143010400,406,2016-10-09 19:51:43,126.9771687,37.3450349
W2V037,37,쌍용충무,쌍용충무,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,충무아파트,경기도 의왕시 왕곡로 56,"(왕곡동, 충무아파트)",,4143010400,332,2016-10-09 19:51:43,126.9786536,37.3455575
W2V038,38,신안포은,신안포은,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,포은아파트,경기도 의왕시 위인로 15,"(왕곡동, 포은아파트)",,4143010400,342,2016-10-09 19:51:43,126.9795692,37.344622
W2V039,39,삼성래미안,삼성래미안,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,삼성래미안아파트,경기도 의왕시 포일로 39,"(내손동, 삼성래미안아파트)",,4143010700,586,2016-10-09 19:51:43,126.9757659,37.389648
W2V040,40,반도보라1단지,반도보라1단지,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,반도보라빌리지1단지,경기도 의왕시 갈미로 64,"(내손동, 반도보라빌리지1단지)",,4143010700,560,2016-10-09 19:51:43,126.9762696,37.37702
W2V041,41,반도보라2단지,반도보라2단지,W2V,경기도,의왕시,11CARM,차량수거장비(UMPC),AF,후불,반도보라빌리지2단지,경기도 의왕시 갈미로 32,"(내손동, 반도보라빌리지2단지)",,4143010700,766,2016-10-09 19:51:43,126.9726724,37.37558
