aptCode,aptManage,aptName_x,aptMemo,cityCode_x,citySidoName,citySggName,equipCode,equipName,chargeCode,chargeName,aptName_y,roadAddr1,roadAddr2,cityCode_y,hbgvCode,ctznCnt,regDate,xlatlng,ylatlng
W3C000,0,춘천시청,삭제엄금,W3C,강원도,춘천시,,,AF,후불,,,,,,,,,
W3C001,1,뉴시티 코아루,계별계량,W3C,강원도,춘천시,11EQUM,개별계량장비,BF,선불,뉴시티 코아루,강원 춘천시 영서로 2922,,,4211011900,463,2016-10-09 19:51:43,,
W3C101,1,온의 마젤란21,강원도 춘천시 온의동 573,W3C,강원도,춘천시,11EQUM,개별계량장비,BF,선불,온의 마젤란21 아파트,강원도 춘천시 영서로 2329,"(온의동, 온의 마젤란21 아파트)",,4211012100,233,2016-10-09 19:51:43,127.716163,37.8675028
W3C102,1,온의 금호 1차,강원도 춘천시 온의동 65-10,W3C,강원도,춘천시,11EQUM,개별계량장비,BF,선불,온의 금호 1차,,,,4211012100,480,2016-10-09 19:51:43,,
W3C103,1,온의 금호 3차,강원도 춘천시 온의동 571,W3C,강원도,춘천시,11EQUM,개별계량장비,BF,선불,온의 금호 3차,,,,4211012100,250,2016-10-09 19:51:43,,
W3C104,1,온의 보배,강원도 춘천시 온의동 509,W3C,강원도,춘천시,11EQUM,개별계량장비,BF,선불,온의 보배,,,,4211012100,262,2016-10-09 19:51:43,,
W3C105,1,석사 삼익세라믹 2차,강원도 춘천시 석사동 114-5,W3C,강원도,춘천시,11EQUM,개별계량장비,BF,선불,석사 삼익세라믹 2차,,,,4211012400,256,2016-10-09 19:51:43,,
W3C106,1,석사 봄내,강원도 춘천시 석사동 682,W3C,강원도,춘천시,11EQUM,개별계량장비,BF,선불,석사 봄내,,,,4211012400,120,2016-10-09 19:51:43,,
W3C107,1,석사 대우,강원도 춘천시 석사동 721-2,W3C,강원도,춘천시,11EQUM,개별계량장비,BF,선불,석사 대우,,,,4211012400,643,2016-10-09 19:51:43,,
W3C108,1,석사 극동,강원도 춘천시 석사동 115-10,W3C,강원도,춘천시,11EQUM,개별계량장비,BF,선불,석사 극동,,,,4211012400,348,2016-10-09 19:51:43,,
W3C109,1,근화 신성미소지움,강원도 춘천시 근화동 279-8,W3C,강원도,춘천시,11EQUM,개별계량장비,BF,선불,근화 신성미소지움,,,,4211011700,1092,2016-10-09 19:51:43,,
W3C110,1,학곡 신아 3차,강원도 춘천시 동내면 학곡리 255-34,W3C,강원도,춘천시,11EQUM,개별계량장비,BF,선불,학곡 신아 3차,강원도 춘천시 동내면 학곡서1길 19,(신아아파트),,4211039025,150,2016-10-09 19:51:43,127.759025,37.833365
W3C111,1,칠전 부영,강원도 춘천시 칠전동 529-2,W3C,강원도,춘천시,11EQUM,개별계량장비,BF,선불,칠전 사랑으로부영아파트,강원도 춘천시 칠전서길 45,"(칠전동, 칠전 사랑으로부영아파트)",,4211012600,369,2016-10-09 19:51:43,127.7120685,37.8437542
W3C112,1,소양 이편한 세상,강원도 춘천시 소양로 2가 183,W3C,강원도,춘천시,11EQUM,개별계량장비,BF,선불,소양 이편한 세상,,,,4211011400,1431,2016-10-09 19:51:43,,
W3C113,1,후평 세경 8차,강원도 춘천시 후평동 908,W3C,강원도,춘천시,11EQUM,개별계량장비,BF,선불,초록지붕아파트,강원도 춘천시 세실로 260,"(후평동, 초록지붕아파트)",,4211012000,278,2016-10-09 19:51:43,127.7551057,37.8806723
W3C114,1,후평 신아 1차,강원도 춘천시 후평동 731-18,W3C,강원도,춘천시,11EQUM,개별계량장비,BF,선불,신아아파트,강원도 춘천시 삭주로194번길 14,"(후평동, 신아아파트)",,4211012000,91,2016-10-09 19:51:43,127.7517869,37.8852948
W3C115,1,후평 더샵,강원도 춘천시 후평동 904,W3C,강원도,춘천시,11EQUM,개별계량장비,BF,선불,후평 더샵,,,,4211012000,1792,2016-10-09 19:51:43,,
W3C116,1,우두 삼성,강원도 춘천시 우두동 1068,W3C,강원도,춘천시,11EQUM,개별계량장비,BF,선불,우두 삼성,,,,4211011800,228,2016-10-09 19:51:43,,
W3C117,1,죽림 브라운빌,강원도 춘천시 죽림동 189,W3C,강원도,춘천시,11EQUM,개별계량장비,BF,선불,브라운가,강원도 춘천시 중앙로67번길 18,"(죽림동, 브라운가)",,4211010900,100,2016-10-09 19:51:43,127.727759,37.8777017
W3C118,1,퇴계 휴먼시아 1단지,강원도 춘천시 퇴계동 1097 ,W3C,강원도,춘천시,11EQUM,개별계량장비,BF,선불,퇴계 휴먼시아 1단지,,,,4211012300,470,2016-10-09 19:51:43,,
W3C119,1,만천 대동다숲,강원도 춘천시 동면 만천리 973,W3C,강원도,춘천시,11EQUM,개별계량장비,BF,선불,만천 대동다숲,,,,4211031022,287,2016-10-09 19:51:43,,
W3C120,1,장학 부영,강원도 춘천시 동면 장학리 993,W3C,강원도,춘천시,11EQUM,개별계량장비,BF,선불,장학 부영,강원도 춘천시 동면 소양강로 104,(춘천장학사랑으로부영아파트),,4211031023,370,2016-10-09 19:51:43,127.7536376,37.8962293
W3C121,1,만천 아이파크,강원도 춘천시 동면 만천로 242,W3C,강원도,춘천시,11EQUM,개별계량장비,BF,선불,만천 아이파크,강원도 춘천시 동면 만천로 242,(춘천장학아이파크),,4211031023,493,2020-04-09 17:08:22,127.7557125,37.8908487
