aptCode,aptManage,aptName_x,aptMemo,cityCode_x,citySidoName,citySggName,equipCode,equipName,chargeCode,chargeName,aptName_y,roadAddr1,roadAddr2,cityCode_y,hbgvCode,ctznCnt,regDate,xlatlng,ylatlng
W3E000,0,강릉시청,삭제엄금,W3E,강원도,강릉시,,,AF,후불,,,,,,,,,
W3E001,1,홍제한신휴플러스,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,홍제한신휴플러스,,,,4215010100,393,2016-10-09 19:51:43,,
W3E002,1,이안강릉타운,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,이안강릉타운,,,,4215012500,915,2016-10-09 19:51:43,,
W3E003,1,대림이편한세상,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,대림이편한세상,교2동357번지,,,4215011000,401,2016-10-09 19:51:43,128.8954145,37.7706555
W3E004,1,더샵,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,더샵,,,,4215012500,822,2016-10-09 19:51:43,,
W3E005,1,홍제힐스테이트,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,홍제힐스테이트,,,,4215010100,494,2016-10-09 19:51:43,,
W3E006,1,노암 한라1차아파트,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,노암 한라1차아파트,,,,4215012100,461,2016-10-09 19:51:43,,
W3E007,1,노암 신화아파트,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,노암 신화아파트,,,,4215012100,494,2016-10-09 19:51:43,,
W3E008,1,노암3차한라아파트,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,노암3차한라아파트,,,,4215012100,497,2016-10-09 19:51:43,,
W3E009,1,부영5차아파트,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,부영5차아파트,,,,4215011000,241,2016-10-09 19:51:43,,
W3E010,1,부영6차아파트,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,부영아파트,강원도 강릉시 정원로 53-9,"(교동, 부영아파트)",,4215011000,419,2016-10-09 19:51:43,128.8764523,37.7612138
W3E011,1,교동한신아파트,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,교동한신아파트,,,,4215011000,272,2016-10-09 19:51:43,,
W3E012,1,롯데캐슬2단지,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,롯데캐슬2단지,,,,4215011000,296,2016-10-09 19:51:43,,
W3E013,1,강릉회산LH아파트,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,회산주공아파트,강원도 강릉시 강변로 94,"(회산동, 회산주공아파트)",,4215011700,307,2016-10-09 19:51:43,128.8794831,37.7442763
W3E014,1,내곡현대아파트,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,내곡현대아파트,,,,4215011600,430,2016-10-09 19:51:43,,
W3E015,1,송정한신휴플러스,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,송정한신휴플러스,,,,4215011500,560,2016-10-09 19:51:43,,
W3E016,1,송정해변신도브래뉴,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,송정해변신도브래뉴,,,,4215011500,738,2016-10-09 19:51:43,,
W3E017,1,입암4단지,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,입암4단지,,,,4215012500,451,2016-10-09 19:51:43,,
W3E018,1,입암6주공아파트,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,입암6주공아파트,,,,4215012500,1622,2016-10-09 19:51:43,,
W3E019,1,에버그린 아파트,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,에버그린 아파트,,,,4215012500,219,2016-10-09 19:51:43,,
W3E020,1,금호어울림,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,금호어울림,,,,4215012500,1018,2016-10-09 19:51:43,,
W3E021,1,유화3차아파트,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,유화3차아파트,,,,4215011200,199,2016-10-09 19:51:43,,
W3E022,1,초당동부아파트,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,초당동부아파트,,,,4215011200,236,2016-10-09 19:51:43,,
W3E023,1,우성아파트,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,우성아파트,,,,4215011200,340,2016-10-09 19:51:43,,
W3E024,1,유천우미린아파트,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,유천우미린아파트,,,,4215010100,664,2016-10-09 19:51:43,,
W3E025,1,입암5단지,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,입암5단지,,,,4215012500,432,2016-10-09 19:51:43,,
W3E026,1,강릉서희스타힐스리버파크,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,서희스타힐스 리버파크 아파트,강원도 강릉시 회산로 344,"(회산동, 서희스타힐스 리버파크 아파트)",,4215011700,700,2020-05-28 13:58:34,128.865497,37.7383452
W3E027,1,내곡한라아파트,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,한라아파트,강원도 강릉시 강변로 114,"(내곡동, 한라아파트)",,4215011600,724,2020-05-28 13:58:58,128.8808965,37.7442385
W3E028,1,남산현대아파트,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,남산현대아파트,강원도 강릉시 남부로125번길 11,"(노암동, 남산현대아파트)",,4215012100,352,2020-05-28 13:59:21,128.8925119,37.7426397
W3E029,1,양우내안애아파트,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,양우내안애아파트,강원도 강릉시 강변로 328-8,"(노암동, 양우내안애아파트)",,4215012100,456,2020-05-28 13:59:41,128.9034194,37.7516224
W3E030,1,노암현대아파트,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,노암현대아파트,강원도 강릉시 율곡로 2733,"(노암동, 노암현대아파트)",,4215012100,288,2020-05-28 14:00:05,128.9055138,37.7508814
W3E031,1,입암현대아파트,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,입암현대아파트,강원도 강릉시 용지로 19,"(입암동, 입암현대아파트)",,4215012500,1107,2020-05-28 14:01:05,128.9111388,37.752364
W3E032,1,일송아파트,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,일송아파트,강원도 강릉시 하평3길 37,"(포남동, 일송아파트)",,4215011100,795,2020-05-28 14:01:30,128.9148613,37.7716609
W3E033,1,청송아파트,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,청송아파트,강원도 강릉시 하평길 41,"(포남동, 청송아파트)",,4215011100,540,2020-04-02 10:44:06,128.9136727,37.771442
W3E034,1,아트피아아파트,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,초당동아트피아아파트,강원도 강릉시 연당길 89,"(초당동, 초당동아트피아아파트)",,4215011200,267,2020-05-28 14:02:48,128.9134275,37.7850702
W3E035,1,교동대림아파트,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,교동대림아파트,강원도 강릉시 수리골길17번길 21,"(교동, 교동대림아파트)",,4215011000,199,2020-05-28 14:03:16,128.8981295,37.7720236
W3E036,1,하이빌현대아파트,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,현대 하이빌 아파트,강원도 강릉시 원대로128번길 14,"(교동, 현대 하이빌 아파트)",,4215011000,1,2017-05-31 10:54:22,128.8834875,37.76545
W3E037,1,교동2차현대아파트,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,교동 2차 현대아파트,강원도 강릉시 교동광장로 138-15,"(교동, 교동 2차 현대아파트)",,4215011000,480,2020-03-31 10:30:44,128.8803529,37.7629721
W3E038,1,강릉홍제푸르지오,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,홍제푸르지오,강원도 강릉시 홍제로71번길 1,"(홍제동, 홍제푸르지오)",,4215010100,273,2020-05-28 14:03:47,128.8840776,37.7533594
W3E039,1,교항2주공아파트,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,교항2주공아파트,강원도 강릉시 주문진읍 연주로 241-7,(주문진교항주공2단지),,4215025022,475,2017-05-23 13:04:50,,
W3E040,1,힐스테이트 강릉,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,힐스테이트강릉아파트,강원도 강릉시 회산로383번길 37,"(회산동, 힐스테이트강릉아파트)",,4215011700,555,2020-04-02 13:32:02,128.8642017,37.7412216
W3E041,1,LH 미디어촌 5단지,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,LH미디어촌5단지아파트,강원도 강릉시 선수촌로 13,"(홍제동, LH미디어촌5단지아파트)",,4215010100,1058,2018-08-29 13:16:19,128.8668218,37.7538959
W3E042,1,LH 미디어촌 6단지,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,LH미디어촌6단지아파트,강원도 강릉시 선수촌로 20,"(홍제동, LH미디어촌6단지아파트)",,4215010100,1144,2018-08-29 13:16:56,128.8678824,37.7529292
W3E043,1,LH 미디어촌 7단지,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,LH미디어촌7단지아파트,강원도 강릉시 선수촌로 36,"(홍제동, LH미디어촌7단지아파트)",,4215010100,363,2018-08-29 13:17:26,128.8694167,37.7534338
W3E044,1,LH 선수촌 8단지,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,LH선수촌8단지아파트,강원도 강릉시 선수촌로 115,"(유천동, LH선수촌8단지아파트)",,4215013100,922,2018-08-29 13:17:56,128.869914,37.7614633
W3E045,1,강릉송정신원아침도시 ,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,강릉송정신원아침도시 ,강원도 강릉시 경강로2506번길 28,(송정동),,4215011400,477,2020-03-19 17:34:43,128.9332733,37.7726113
W3E046,1,강릉역 블루핀 오피스텔,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,강릉역 블루핀 오피스텔,강원도 강릉시 강릉대로 285,(교동),,4215011000,1,2020-06-05 15:48:37,128.8997667,37.762718
W3E047,1,강릉아이파크,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,강릉아이파크아파트,강원도 강릉시 경강로 2511,"(송정동, 강릉아이파크아파트)",,4215011400,492,2020-07-24 14:31:53,128.9353991,37.7749788
W3E048,1,송정한신더휴아파트,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,강릉송정 한신더휴,강원도 강릉시 경강로 2448,"(송정동, 강릉송정 한신더휴)",,4215011400,353,2020-12-21 14:26:22,128.9271776,37.773181
W3E049,1,강변코아루오투리움,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,강변코아루오투리움,강원도 강릉시 월대산로 23,(입암동),,4215012500,429,2021-02-25 09:01:29,128.9126962,37.7606433
W3E04A,1,삼익타워맨션,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,삼익타워맨션아파트,강원도 강릉시 남산초교길 65,"(내곡동, 삼익타워맨션아파트)",,4215011600,212,2021-02-25 09:01:59,128.8910797,37.741784
W3E04B,1,강릉회산한신더휴,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,강릉회산한신더휴,강원도 강릉시 회산로 313,(회산동),,4215011700,413,2021-02-25 09:02:46,128.862441,37.7398087
W3E04C,1,강릉 교동3차부영아파트,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,부영3차아파트,강원도 강릉시 하슬라로 124,"(교동, 부영3차아파트)",,4215011000,468,2021-02-25 09:03:18,128.8751417,37.7602936
W3E04D,1,삼우은성,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,삼우은성맨션아파트,강원도 강릉시 남강초교1길 55,"(송정동, 삼우은성맨션아파트)",,4215011400,270,2021-02-25 09:03:46,128.9215707,37.7702226
W3E04E,1,풍림아이원,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,풍림아이원,강원도 강릉시 화부산로40번길 29,(교동),,4215011000,194,2021-02-25 09:04:13,128.8899889,37.7611326
W3E04F,1,연곡2단지부영,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,연곡2단지부영,강원도 강릉시 연곡면 영진3길 43,(부영사랑으로 아파트),,4215037022,371,2021-02-25 09:04:41,128.8416493,37.8695064
W3E050,1,극동아파트,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,극동아파트,강원도 강릉시 주문진읍 웃사다리4길 20,(극동아파트),,4215025022,203,2021-03-30 13:55:07,128.8209469,37.8878725
W3E051,1,교동부영1차아파트,,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,부영아파트,강원도 강릉시 정원로 53-4,"(교동, 부영아파트)",,4215011000,495,2021-03-30 13:55:34,128.8750107,37.7618875
W3E052,1,이모네생선찜 맞은변 인도,,W3E,강원도,강릉시,11EQUM,개별계량장비,BF,선불,이모네생선찜 맞은변 인도,강원도 강릉시 하슬라로206번길 4-10,(교동),,4215011000,1,2021-04-19 12:28:37,128.8757931,37.7672653
W3E053,1,GS25 앞 대로변 인도,,W3E,강원도,강릉시,11EQUM,개별계량장비,BF,선불,GS25 앞 대로변 인도,강원도 강릉시 하슬라로206번길 4-10,(교동),,4215011000,1,2021-04-19 12:29:07,128.8757931,37.7672653
W3E054,1,"원불교 옆, 공원쪽 도로변",,W3E,강원도,강릉시,11EQUM,개별계량장비,BF,선불,"원불교 옆, 공원쪽 도로변",강원도 강릉시 하슬라로 149-1,(교동),,4215011000,1,2021-04-19 12:30:25,128.8739963,37.7633779
W3E055,1,교촌치킨과 고기원칙 중간 인도,,W3E,강원도,강릉시,11EQUM,개별계량장비,BF,선불,교촌치킨과 고기원칙 중간 인도,강원도 강릉시 하슬라로 149-1,(교동),,4215011000,1,2021-04-19 12:31:14,128.8739963,37.7633779
W3E056,1,200도씨 큰길쪽,,W3E,강원도,강릉시,11EQUM,개별계량장비,BF,선불,조개마을 큰도로변 앞 인도,강원도 강릉시 하슬라로206번길 4-10,(교동),,4215011000,1,2021-04-19 12:31:48,128.8757931,37.7672653
W3E057,1,유천유승한내들더퍼스트(ki),,W3E,강원도,강릉시,11EQUM,개별계량장비,AF,후불,강릉유천유승한내들더퍼스트,강원도 강릉시 선수촌로 79-14,"(유천동, 강릉유천유승한내들더퍼스트)",,4215013100,788,2021-05-11 14:28:29,128.86873,37.7578147
