aptCode,aptManage,aptName_x,aptMemo,cityCode_x,citySidoName,citySggName,equipCode,equipName,chargeCode,chargeName,aptName_y,roadAddr1,roadAddr2,cityCode_y,hbgvCode,ctznCnt,regDate,xlatlng,ylatlng
W3N000,0,정선군청,삭제엄금,W3N,강원도,정선군,11EQUM,개별계량장비,AF,후불,,,,,,,,,
W3N001,1,미소빌아파트(BM),,W3N,강원도,정선군,11EQUM,개별계량장비,AF,후불,미소빌아파트(BM),강원도 정선군 정선읍 정선로 1245-6,(미소빌아파트),,4277025022,248,2018-11-28 17:40:17,128.653725,37.37944
W3N002,1,정선현대아파트(BM),,W3N,강원도,정선군,11EQUM,개별계량장비,AF,후불,정선현대아파트(BM),강원도 정선군 정선읍 정선로 1245-11,(현대아파트),,4277025022,178,2018-11-28 17:41:50,128.65309,37.379615
W3N003,1,북실주공아파트(BM),,W3N,강원도,정선군,11EQUM,개별계량장비,AF,후불,북실주공아파트(BM),강원도 정선군 정선읍 정선로 1182-1,,,4277025022,270,2018-11-28 17:43:23,128.6456493,37.380351
W3N004,1,봉양주공아파트(BM),,W3N,강원도,정선군,11EQUM,개별계량장비,AF,후불,봉양주공아파트(BM),강원도 정선군 정선읍 녹송로 23-34,(봉양주공1차아파트),,4277025021,256,2018-11-28 17:44:58,128.6703251,37.3795031
W3N005,1,해피아리아파트(BM),,W3N,강원도,정선군,11EQUM,개별계량장비,AF,후불,해피아리아파트(BM),강원도 정선군 고한읍 고한10길 28-23,(해피아리아파트),,4277025321,140,2018-11-28 17:46:16,128.8585375,37.1988604
W3N006,1,고한임대아파트(BM),,W3N,강원도,정선군,11EQUM,개별계량장비,AF,후불,고한임대아파트(BM),강원도 정선군 고한읍 고한10길 28-14,(정선군임대아파트),,4277025321,100,2018-11-28 17:50:32,128.8573336,37.1990765
W3N007,1,고한주공아파트(BM),,W3N,강원도,정선군,11EQUM,개별계량장비,AF,후불,고한주공아파트(BM),강원도 정선군 고한읍 고한10길 30,(고한주공아파트),,4277025321,285,2018-11-28 17:52:23,128.8577331,37.1999474
W3N008,1,금광임대아파트(BM),,W3N,강원도,정선군,11EQUM,개별계량장비,AF,후불,금광임대아파트(BM),강원도 정선군 정선읍 녹송5길 42,(금광임대아파트),,4277025021,48,2018-11-28 17:53:27,128.6714957,37.3847037
W3N009,1,아리랑아파트(BM),정선읍 병방치길 7,W3N,강원도,정선군,11EQUM,개별계량장비,AF,후불,아리랑아파트(BM),강원도 정선군 정선읍 병방치길 7,(아리랑아파트),,4277025022,120,2019-11-12 09:17:04,128.648529,37.3767394
W3N00A,1,수려안아파트(BM),남면 별어곡2길 37 ,W3N,강원도,정선군,11EQUM,개별계량장비,AF,후불,수려안아파트(BM),강원도 정선군 남면 별어곡2길 37,(정선수려안),,4277032021,207,2019-11-12 09:17:47,128.7391099,37.2706145
W3N00B,1,영동아파트(BM),사북읍 북일안길 36,W3N,강원도,정선군,11EQUM,개별계량장비,AF,후불,영동아파트(BM),강원도 정선군 사북읍 북일안길 51,(영동아파트),,4277025622,180,2019-11-12 09:19:26,128.8394158,37.226437
W3N00C,1,산수빌아파트(BM),사북읍 소금강로 3535,W3N,강원도,정선군,11EQUM,개별계량장비,AF,후불,산수빌아파트(BM),강원도 정선군 사북읍 소금강로 3535,(정선산수빌임대아파트),,4277025622,265,2019-11-12 09:20:10,128.8377967,37.228237
W3N00D,1,소라파크(BM),"사북읍 파랑새길 10
소라파크 아파트",W3N,강원도,정선군,11EQUM,개별계량장비,AF,후불,소라파크2차아파트(BM),강원도 정선군 사북읍 파랑새길 10,(소라파크),,4277025622,207,2019-11-12 09:21:07,128.8259781,37.2233249
W3N00E,1,함백아파트(BM),신동읍 새골길 70,W3N,강원도,정선군,11EQUM,개별계량장비,AF,후불,함백아파트(BM),강원도 정선군 신동읍 새골길 70,(함백아파트),,4277025923,150,2019-11-12 09:21:42,128.6742523,37.2204816
W3N00F,1,무릉주공(BM),강원도 정선군 멀미길 33,W3N,강원도,정선군,11EQUM,개별계량장비,AF,후불,무릉주공(BM),강원도 정선군 남면 멀미길 33,(무릉아파트),,4277032022,300,2020-06-04 14:13:12,128.785811,37.2398153
W3N010,1,파인앤유(BM),강원도 정선군 고한7길 20,W3N,강원도,정선군,11EQUM,개별계량장비,AF,후불,파인앤유(BM),강원도 정선군 고한읍 고한7길 20,(파인앤유),,4277025321,299,2020-06-04 14:14:16,128.860731,37.1951344
W3N011,1,고한행복주택(BM),강원도 정선군 고한읍 고한리 63-68,W3N,강원도,정선군,11EQUM,개별계량장비,AF,후불,고한행복주택(BM),고한리 63-68,,,,150,2020-06-04 14:15:36,128.8581597,37.1984165
W3N012,1,사북선명(BM),강원도 정선군 파랑새길 30,W3N,강원도,정선군,11EQUM,개별계량장비,AF,후불,사북선명(BM),강원도 정선군 사북읍 파랑새길 30,(사북선명아파트),,4277025622,384,2020-06-04 14:16:42,128.8252758,37.2244486
W3NFFF,999,해당없음,삭제엄금,W3N,강원도,정선군,11EQUM,개별계량장비,AF,후불,,,,,,,,,
