aptCode,aptManage,aptName_x,aptMemo,cityCode_x,citySidoName,citySggName,equipCode,equipName,chargeCode,chargeName,aptName_y,roadAddr1,roadAddr2,cityCode_y,hbgvCode,ctznCnt,regDate,xlatlng,ylatlng
W3O000,0,철원군청,삭제엄금,W3O,강원도,철원군,11EQUM,개별계량장비,BF,선불,,,,,,,,,
W3O001,1,산호그린빌(BM),화지리 71-2,W3O,강원도,철원군,11EQUM,개별계량장비,BF,선불,산호그린빌(BM),강원도 철원군 철원읍 금학로317번길 17,,,4278025021,330,2020-06-17 10:51:29,127.2100554,38.2140894
W3O002,1,문혜레스텔(BM),문혜리 590,W3O,강원도,철원군,11EQUM,개별계량장비,BF,선불,문혜레스텔(BM),강원도 철원군 갈말읍 태봉로 1526-30,(군인아파트),,4278025625,30,2020-06-17 11:01:21,127.3214164,38.1870851
W3O003,1,목련아파트(BM),문혜리 590,W3O,강원도,철원군,11EQUM,개별계량장비,BF,선불,목련아파트(BM),강원도 철원군 갈말읍 태봉로 1526-30,(군인아파트),,4278025625,30,2020-06-17 11:02:15,127.3214164,38.1870851
W3O004,1,승포레스텔(BM),문혜리 853,W3O,강원도,철원군,11EQUM,개별계량장비,BF,선불,승포레스텔(BM),강원도 철원군 갈말읍 두루미로 41,,,4278025625,30,2020-06-17 11:02:46,127.3239845,38.1811334
W3O005,1,승포아트빌(BM),문혜리 649-5,W3O,강원도,철원군,11EQUM,개별계량장비,BF,선불,승포아트빌(BM),강원도 철원군 갈말읍 두루미로 36-29,(승포아트빌),,4278025625,30,2020-06-17 11:03:49,127.3270556,38.1820709
W3O006,1,청양아파트(BM),청양리 311,W3O,강원도,철원군,11EQUM,개별계량장비,BF,선불,청양아파트(BM),강원도 철원군 김화읍 김화로 309,(청양레스텔5관),,4278025328,30,2020-06-17 11:05:55,127.3855125,38.25235
W3O007,1,금강아미움(BM),이평리 1554,W3O,강원도,철원군,11EQUM,개별계량장비,BF,선불,금강아미움(BM),강원도 철원군 동송읍 금학로201번길 9,(금강아미움아파트),,4278025921,276,2020-06-17 11:06:55,127.2176127,38.2060895
W3O008,1,명품ESA아파트(BM),지포리 138,W3O,강원도,철원군,11EQUM,개별계량장비,BF,선불,명품ESA아파트(BM),강원도 철원군 갈말읍 명성로139번길 13-22,,,4278025622,324,2020-06-17 11:07:30,127.305201,38.1435727
W3O009,1,영남빌라(BM),김화읍 청양로94번길 4-9,W3O,강원도,철원군,11EQUM,개별계량장비,BF,선불,,,,,,,,,
W3O010,1,쉬리마을아파트(BM),김화읍 김화로 633-21,W3O,강원도,철원군,11EQUM,개별계량장비,BF,선불,,,,,,,,,
