aptCode,aptManage,aptName_x,aptMemo,cityCode_x,citySidoName,citySggName,equipCode,equipName,chargeCode,chargeName,aptName_y,roadAddr1,roadAddr2,cityCode_y,hbgvCode,ctznCnt,regDate,xlatlng,ylatlng
W4Q000,0,군산시청,,W4Q,전라북도,군산시,11EQUM,개별계량장비,AF,후불,,,,,,,,,
W4Q001,1,수송오투그란데2차(BM),,W4Q,전라북도,군산시,11EQUM,개별계량장비,AF,후불,수송오투그란데2차(BM),,,,4513014100,575,2016-10-09 19:51:43,,
W4Q002,1,나운동신(BM),백토로 216,W4Q,전라북도,군산시,11EQUM,개별계량장비,AF,후불,동신아파트,전라북도 군산시 백토로 216,"(나운동, 동신아파트)",,4513014400,425,2016-10-09 19:51:43,126.7037617,35.9599995
W4Q003,1,개정_사정금호2단지,사정동 100,W4Q,전라북도,군산시,11EQUM,개별계량장비,AF,후불,개정_사정금호2단지,전북 군산시 두란뜸2길 8,,,4513013900,362,2016-10-09 19:51:43,,
W4Q004,1,조촌_현대한솔아파트,조촌동 895-16,W4Q,전라북도,군산시,11EQUM,개별계량장비,AF,후불,조촌_현대한솔아파트,전북 군산시 번영로 159,,,4513013400,158,2016-10-09 19:51:43,,
W4Q005,1,경장대영오르빌,경장동 511-6,W4Q,전라북도,군산시,11EQUM,개별계량장비,AF,후불,경장대영오르빌,전북 군산시 번영로 86,,,4513013400,176,2016-10-09 19:51:43,,
W4Q006,1,조촌삼성아파트,조촌동 491,W4Q,전라북도,군산시,11EQUM,개별계량장비,AF,후불,조촌삼성아파트,전북 군산시 백릉로 162,,,4513013400,310,2016-10-09 19:51:43,,
W4Q007,1,조촌세경아파트,조촌동 907-1(양안로 123),W4Q,전라북도,군산시,11EQUM,개별계량장비,AF,후불,조촌세경아파트,전북 군산시 양안로 123,,,4513013400,207,2016-10-09 19:51:43,,
W4Q008,1,조촌_시영3차아파트,조촌동 903-1,W4Q,전라북도,군산시,11EQUM,개별계량장비,AF,후불,시영아파트,전라북도 군산시 양안로 130,"(조촌동, 시영아파트)",,4513013400,275,2016-10-09 19:51:43,126.7446159,35.9740148
W4Q009,1,조촌현대아파트,조촌동 903-2,W4Q,전라북도,군산시,11EQUM,개별계량장비,AF,후불,조촌현대아파트,전북 군산시 양안로 122,,,4513013400,564,2016-10-09 19:51:43,,
W4Q010,1,조촌_동신개나리아파트,조촌동 907-2,W4Q,전라북도,군산시,11EQUM,개별계량장비,AF,후불,조촌_동신개나리아파트,전북 군산시 양안로 119,,,4513013400,392,2016-10-09 19:51:43,,
W4Q011,1,경암_한국지엠군산,경암동 708,W4Q,전라북도,군산시,11EQUM,개별계량장비,AF,후불,경암_한국지엠군산,전북 군산시 조촌로 234,,,4513013600,124,2016-10-09 19:51:43,,
W4Q013,1,경암_새한아파트,"경암동 539-9,16",W4Q,전라북도,군산시,11EQUM,개별계량장비,AF,후불,경암_새한아파트,전북 군산시 경촌3길 23,,,4513013600,322,2016-10-09 19:51:43,,
W4Q014,1,경암부향하나로,경암동 540-8,W4Q,전라북도,군산시,11EQUM,개별계량장비,AF,후불,경암부향하나로,전북 군산시 경촌1길 56,,,4513013600,1027,2016-10-09 19:51:43,,
W4Q015,1,구암_세풍아파트,구암동 333-1,W4Q,전라북도,군산시,11EQUM,개별계량장비,AF,후불,구암_세풍아파트,전북 군산시 영명길 6,,,4513013700,441,2016-10-09 19:51:43,,
W4Q016,1,구암주공아파트,구암동 614,W4Q,전라북도,군산시,11EQUM,개별계량장비,AF,후불,구암주공아파트,전북 군산시 궁멀길 55-8,,,4513013700,408,2016-10-09 19:51:43,,
W4Q017,1,구암현대아파트,구암동 65,W4Q,전라북도,군산시,11EQUM,개별계량장비,AF,후불,구암현대아파트,전북 군산시 서당길 11,,,4513013700,1090,2016-10-09 19:51:43,,
W4Q018,1,나운_동신진주1차아파트,나운동 733-1,W4Q,전라북도,군산시,11EQUM,개별계량장비,AF,후불,나운_동신진주1차아파트,전북 군산시 상신7길 15,,,4513014400,220,2016-10-09 19:51:43,,
