aptCode,aptManage,aptName_x,aptMemo,cityCode_x,citySidoName,citySggName,equipCode,equipName,chargeCode,chargeName,aptName_y,roadAddr1,roadAddr2,cityCode_y,hbgvCode,ctznCnt,regDate,xlatlng,ylatlng
W5I000,0,무안군,,W5I,전라남도,무안군,11EQUM,개별계량장비,AF,후불,,,,,,,,,
W5I001,1,서라,,W5I,전라남도,무안군,11EQUM,개별계량장비,AF,후불,서라,전남 무안군 무안읍 면성1길 146,,,4684025000,435,2016-10-09 19:51:43,126.471058146,34.9854587211
W5I002,1,남악오룡 30블록 호반써밋(BM),전라남도 무안군 일로읍 망월리 오룡지구 30블록,W5I,전라남도,무안군,11EQUM,개별계량장비,AF,후불,남악오룡 30블록 호반써밋(BM),전라남도 무안군 일로읍 오룡중앙동로 37,,,4684025322,364,2020-06-22 15:56:38,,
W5I003,1,남악오룡 31블록 호반써밋(BM),전라북도 무안군 일로읍 망월리 오룡지구 31블록,W5I,전라남도,무안군,11EQUM,개별계량장비,AF,후불,남악오룡 31블록 호반써밋(BM),전라남도 무안군 일로읍 오룡중앙동로 65,,,4684025322,359,2020-06-22 15:57:51,,
W5I004,1,남악오룡 32블록 호반써밋(BM),전라남도 무안군 일로읍 망월리 오룡지구 32블록,W5I,전라남도,무안군,11EQUM,개별계량장비,AF,후불,남악오룡 32블록 호반써밋(BM),전라남도 무안군 일로읍 오룡중앙동로 37,,,4684025322,716,2020-06-22 15:58:45,,
W5I005,1,오룡에듀포레 푸르지오 1단지,,W5I,전라남도,무안군,11EQUM,개별계량장비,AF,후불,오룡에듀포레 푸르지오 1단지,전라남도 무안군 일로읍 오룡중앙동로 37,(오룡 에듀포레 푸르지오),,4684025322,792,2020-06-30 14:37:53,,
W5I006,1,오룡에듀포레 푸르지오 2단지,,W5I,전라남도,무안군,11EQUM,개별계량장비,AF,후불,오룡에듀포레 푸르지오 2단지,전라남도 무안군 일로읍 오룡중앙동로 37,(오룡 에듀포레 푸르지오),,4684025322,749,2020-06-30 14:38:31,,
W5I007,1,신화휴리브 ,,W5I,전라남도,무안군,11EQUM,개별계량장비,AF,후불,신화휴리브 ,전라남도 무안군 무안읍 교촌리 1027-14,,,,148,2020-11-19 15:25:27,126.4693003,34.9868818
W5I008,1,오룡한국아델리움위너스,,W5I,전라남도,무안군,11EQUM,개별계량장비,AF,후불,오룡한국아델리움위너스,전라남도 무안군 일로읍 오남로 43,(한국아델리움 위너스),,4684025335,310,2020-12-10 13:21:17,,
W5I009,1,중흥S클래스퍼스트뷰,,W5I,전라남도,무안군,11EQUM,개별계량장비,AF,후불,중흥S클래스퍼스트뷰,전라남도 무안군 삼향읍 남악2로22번길 30-33,,,4684025622,137,2021-04-21 14:08:39,,
W5IFFF,999,해당없음,삭제엄금,W5I,전라남도,무안군,11EQUM,개별계량장비,AF,후불,,,,,,,,,
