aptCode,aptManage,aptName_x,aptMemo,cityCode_x,citySidoName,citySggName,equipCode,equipName,chargeCode,chargeName,aptName_y,roadAddr1,roadAddr2,cityCode_y,hbgvCode,ctznCnt,regDate,xlatlng,ylatlng
W5W000,0,영천시청,삭제엄금,W5W,경상북도,영천시,11EQUM,개별계량장비,AF,후불,,,,,,,,,
W5W001,1,가와인아파트,,W5W,경상북도,영천시,11EQUM,개별계량장비,AF,후불,봉동선원가와인아파트,경상북도 영천시 봉동1길 51,"(봉동, 봉동선원가와인아파트)",,4723011600,473,2018-10-05 11:34:18,128.9422307,35.9333819
W5W002,1,대동다숲아파트,,W5W,경상북도,영천시,11EQUM,개별계량장비,AF,후불,대동다숲아파트,경상북도 영천시 중앙동1길 102-10,"(문내동, 대동다숲아파트)",,4723010400,329,2020-04-14 16:31:39,128.931566,35.9758353
W5W003,1,영천인터불고코아루,,W5W,경상북도,영천시,11EQUM,개별계량장비,AF,후불,인터불고코아루아파트,경상북도 영천시 창신1길 42,"(망정동, 인터불고코아루아파트)",,4723010200,471,2020-04-14 16:32:06,128.9545889,35.9902914
W5W004,1,신우연립주택,,W5W,경상북도,영천시,11EQUM,개별계량장비,AF,후불,신우타운,경상북도 영천시 상록4길 5,"(문외동, 신우타운)",,4723010500,156,2019-04-24 13:36:55,,
W5W005,1,창신영천타운,,W5W,경상북도,영천시,11EQUM,개별계량장비,AF,후불,창신타운,경상북도 영천시 창신1길 21,"(망정동, 창신타운)",,4723010200,1335,2019-04-24 13:37:36,,
W5W006,1,영천 완산청구하이츠,,W5W,경상북도,영천시,11EQUM,개별계량장비,AF,후불,완산청구하이츠,경상북도 영천시 강남길 31,"(완산동, 완산청구하이츠)",,4723011300,260,2019-09-18 14:06:45,128.9364706,35.965547
W5W007,1,야사5주공아파트,,W5W,경상북도,영천시,11EQUM,개별계량장비,AF,후불,주공아파트,경상북도 영천시 충효로 147,"(야사동, 주공아파트)",,4723010300,326,2019-09-18 14:07:27,128.9442875,35.9778992
W5W008,1,영천 청구1차타운,,W5W,경상북도,영천시,11EQUM,개별계량장비,AF,후불,청구타운,경상북도 영천시 모란1길 18,"(야사동, 청구타운)",,4723010300,400,2019-09-18 14:08:12,128.941227,35.9769449
W5W009,1,문화아파트,,W5W,경상북도,영천시,11EQUM,개별계량장비,AF,후불,문화아파트,경상북도 영천시 문화새길 39,"(야사동, 문화아파트)",,4723010300,470,2019-09-18 14:08:48,128.9472871,35.9724792
W5W00A,1,영천 미소지움 프리미엄,,W5W,경상북도,영천시,11EQUM,개별계량장비,AF,후불,영천완산미소지움2차,경상북도 영천시 완산5길 111,"(완산동, 영천완산미소지움2차)",,4723011300,776,2020-02-05 11:15:25,128.9461864,35.967697
W5W00B,1,영천주공3차,,W5W,경상북도,영천시,11EQUM,개별계량장비,AF,후불,주공아파트,경상북도 영천시 충효로 147,"(야사동, 주공아파트)",,4723010300,500,2020-02-05 11:16:22,128.9442875,35.9778992
W5W00C,1,영천청솔아파트,,W5W,경상북도,영천시,11EQUM,개별계량장비,AF,후불,,,,,,,,,
W5W00D,1,영천 청구 2차 타운,,W5W,경상북도,영천시,11EQUM,개별계량장비,AF,후불,,,,,,,,,
W5W00E,1,야사동주공2차아파트,,W5W,경상북도,영천시,11EQUM,개별계량장비,AF,후불,,,,,,,,,
W5W00F,1,삼산무지개타운,,W5W,경상북도,영천시,11EQUM,개별계량장비,AF,후불,,,,,,,,,
W5W010,1,영천 e편한세상 1단지,완산동 1436,W5W,경상북도,영천시,11EQUM,개별계량장비,AF,후불,영천 e편한세상 1단지,경상북도 영천시 완산9길 15,(완산동),,4723011300,587,2021-01-20 15:01:18,,
W5W011,1,영천 e편한세상 2단지,완산동 1436,W5W,경상북도,영천시,11EQUM,개별계량장비,AF,후불,영천 e편한세상 2단지,경상북도 영천시 완산9길 15,(완산동),,4723011300,623,2021-01-20 15:03:28,,
W5WFFF,999,해당없음,삭제엄금,W5W,경상북도,영천시,11EQUM,개별계량장비,AF,후불,,,,,,,,,
