aptCode,aptManage,aptName_x,aptMemo,cityCode_x,citySidoName,citySggName,equipCode,equipName,chargeCode,chargeName,aptName_y,roadAddr1,roadAddr2,cityCode_y,hbgvCode,ctznCnt,regDate,xlatlng,ylatlng
W6B000,0,울진군청,삭제엄금,W6B,경상북도,울진군,,,AF,후불,,,,,,,,,
W6B001,1,성우아파트,,W6B,경상북도,울진군,11EQUM,개별계량장비,BF,선불,성우아파트,경상북도 울진군 울진읍 읍내11길 6,(성우아파트),,4793025021,50,2016-10-09 19:51:43,129.4008875,36.9970205
W6B002,1,소라아파트,,W6B,경상북도,울진군,11EQUM,개별계량장비,BF,선불,소라아파트,경상북도 울진군 울진읍 읍내11길 10,(소라아파트),,4793025021,100,2016-10-09 19:51:43,129.4003304,36.996698
W6B003,1,창신주택,,W6B,경상북도,울진군,11EQUM,개별계량장비,BF,선불,창신주택,경상북도 울진군 울진읍 공세항길 19-3,(창신주택),,4793025021,50,2016-10-09 19:51:43,129.4032567,36.9897076
W6B004,1,연호하이츠,,W6B,경상북도,울진군,11EQUM,개별계량장비,BF,선불,연호하이츠,경상북도 울진군 울진읍 현내항길 48,(연호하이츠),,4793025021,50,2016-10-09 19:51:43,129.4064049,36.99201
W6B005,1,승민엘리시안아파트,,W6B,경상북도,울진군,11EQUM,개별계량장비,BF,선불,승민엘리시안아파트,경상북도 울진군 울진읍 연호로 42-6,(승민엘리시안아파트),,4793025021,50,2016-10-09 19:51:43,129.4053924,36.9930848
W6B006,1,정우레이크빌,,W6B,경상북도,울진군,11EQUM,개별계량장비,BF,선불,정우레이크빌,경상북도 울진군 울진읍 연호로 38,,,4793025021,50,2016-10-09 19:51:43,129.4055194,36.9935421
W6B007,1,정우엘스빌,,W6B,경상북도,울진군,11EQUM,개별계량장비,BF,선불,정우엘스빌,경상북도 울진군 울진읍 읍내로 66,(정우 엘스빌),,4793025021,100,2016-10-09 19:51:43,129.4048712,36.9930488
W6B008,1,남양아너스빌3차,,W6B,경상북도,울진군,11EQUM,개별계량장비,BF,선불,남양아너스빌3차,경상북도 울진군 울진읍 현내항길 42,(남양아너스빌),,4793025021,19,2016-10-09 19:51:43,129.4057128,36.9921177
W6B009,1,제니스빌,,W6B,경상북도,울진군,11EQUM,개별계량장비,BF,선불,제니스빌,경상북도 울진군 울진읍 현내항길 42-1,(제니스빌),,4793025021,50,2016-10-09 19:51:43,129.4054402,36.9921209
W6B010,1,쉐르빌,,W6B,경상북도,울진군,11EQUM,개별계량장비,BF,선불,쉐르빌,경상북도 울진군 울진읍 공세항길 19-47,(쉐르빌),,4793025021,50,2016-10-09 19:51:43,129.4045397,36.9914272
W6B011,1,맥스빌,,W6B,경상북도,울진군,11EQUM,개별계량장비,BF,선불,맥스빌,경상북도 울진군 울진읍 공세항길 19-53,(맥스빌),,4793025021,50,2016-10-09 19:51:43,129.4047616,36.9916512
W6B012,1,송림빌라,,W6B,경상북도,울진군,11EQUM,개별계량장비,BF,선불,송림빌라,경상북도 울진군 울진읍 울진중앙로 41-15,(송림빌라),,4793025021,50,2016-10-09 19:51:43,129.3967137,36.9854582
W6B013,1,현대아파트,,W6B,경상북도,울진군,11EQUM,개별계량장비,BF,선불,현대아파트,경상북도 울진군 울진읍 월변9길 26,(현대아파트),,4793025021,258,2016-10-09 19:51:43,129.3983352,36.983465
