aptCode,aptManage,aptName_x,aptMemo,cityCode_x,citySidoName,citySggName,equipCode,equipName,chargeCode,chargeName,aptName_y,roadAddr1,roadAddr2,cityCode_y,hbgvCode,ctznCnt,regDate,xlatlng,ylatlng
W6F000,0,진주시청,,W6F,경상남도,진주시,11EQUM,개별계량장비,AF,후불,,,,,,,,,
W6F001,1,금산진흥더루벤스,,W6F,경상남도,진주시,11EQUM,개별계량장비,AF,후불,진흥더루벤스,경상남도 진주시 금산면 금산로 24,(진주금산 진흥 더 루벤스),,4817041026,404,2016-10-09 19:51:43,128.1392276449,35.2135996598
W6F002,1,금산아이파크,,W6F,경상남도,진주시,11EQUM,개별계량장비,AF,후불,금산아이파크,경상남도 진주시 금산면 중천로 82,(금산아이파크아파트),,4817041027,735,2016-10-09 19:51:43,128.1443827041,35.2166471047
W6F003,1,금산흥한골든빌아파트,,W6F,경상남도,진주시,11EQUM,개별계량장비,AF,후불,금산흥한골든빌아파트,경상남도 진주시 금산면 금산로 123,(금산흥한골든빌),,4817041027,1713,2016-10-09 19:51:43,128.1487948409,35.2146578505
W6F004,1,금산푸르지오1단지,,W6F,경상남도,진주시,11EQUM,개별계량장비,AF,후불,진주푸르지오 1단지아파트,경상남도 진주시 금산면 덕의길 15,(진주푸르지오1단지),,4817041027,475,2016-10-09 19:51:43,,
W6F005,1,금산푸르지오2단지,,W6F,경상남도,진주시,11EQUM,개별계량장비,AF,후불,진주푸르지오 2단지아파트,경상남도 진주시 금산면 덕의길 11,(진주푸르지오2단지),,4817041027,340,2016-10-09 19:51:43,,
W6F031,1,하대현대아파트,,W6F,경상남도,진주시,11EQUM,개별계량장비,AF,후불,현대아파트,경상남도 진주시 하대로 142,"(하대동, 현대아파트)",,4817012000,1108,2016-10-09 19:51:43,128.1248731687,35.191393694
W6F041,1,상평센트럴자이,,W6F,경상남도,진주시,11EQUM,개별계량장비,AF,후불,진주센트럴자이,경상남도 진주시 도동천로 48,"(상평동, 진주센트럴자이)",,4817012100,401,2016-10-09 19:51:43,128.1045969693,35.1781153966
W6F051,1,초전푸르지오1단지,,W6F,경상남도,진주시,11EQUM,개별계량장비,AF,후불,진주초전푸르지오1단지,경상남도 진주시 초장로14번길 27,"(초전동, 진주초전푸르지오1단지)",,4817012200,812,2016-10-09 19:51:43,128.1120779255,35.2047410399
W6F052,1,초전푸르지오2단지,,W6F,경상남도,진주시,11EQUM,개별계량장비,AF,후불,진주초전푸르지오2단지,경상남도 진주시 초장로14번길 29,"(초전동, 진주초전푸르지오2단지)",,4817012200,830,2016-10-09 19:51:43,128.1108802776,35.2076505495
W6F053,1,초장엠코타운더이스턴파크,,W6F,경상남도,진주시,11EQUM,개별계량장비,AF,후불,진주 초장 엠코타운 더 이스턴파크,경상남도 진주시 초북로 77,"(초전동, 진주 초장 엠코타운 더 이스턴파크)",,4817012200,883,2016-10-09 19:51:43,,
W6F054,1,초전해모로루비채2단지,,W6F,경상남도,진주시,11EQUM,개별계량장비,AF,후불,초전 해모로 루비채 2단지,경상남도 진주시 초북로 88,"(초전동, 초전 해모로 루비채 2단지)",,4817012200,564,2016-10-09 19:51:43,128.1068148363,35.2149657099
W6F055,1,초전해모로루비채4단지,,W6F,경상남도,진주시,11EQUM,개별계량장비,AF,후불,초전 해모로 루비채 4단지,경상남도 진주시 초북로 55,"(초전동, 초전 해모로 루비채 4단지)",,4817012200,774,2016-10-09 19:51:43,128.1086395698,35.2121342445
W6F056,1,초전대림아파트,,W6F,경상남도,진주시,11EQUM,개별계량장비,AF,후불,초전대림아파트,경상남도 진주시 말티고개로 113,"(초전동, 초전대림아파트)",,4817012200,305,2016-10-09 19:51:43,,
W6F070,1,문산코아루,,W6F,경상남도,진주시,11EQUM,개별계량장비,AF,후불,문산코아루,경상남도 진주시 문산읍 월아산로1117번길 5,(진주문산코아루아파트),,4817025022,520,2016-10-09 19:51:43,128.1606347,35.1704963
W6F071,1,문산파란채,,W6F,경상남도,진주시,11EQUM,개별계량장비,AF,후불,문산파란채,경상남도 진주시 문산읍 월아산로1048번길 15,(진주문산파란채아파트),,4817025023,351,2016-10-09 19:51:43,,
W6F090,1,집현금빛마을현대아파트,,W6F,경상남도,진주시,11EQUM,개별계량장비,AF,후불,집현금빛마을현대아파트,경상남도 진주시 집현면 진산로 675,(현대아파트),,4817042022,667,2016-10-09 19:51:43,128.0890895538,35.2389120845
W6F101,1,평거들말한보,,W6F,경상남도,진주시,11EQUM,개별계량장비,AF,후불,들말한보타운,경상남도 진주시 평거로39번길 9,"(평거동, 들말한보타운)",,4817012600,791,2016-10-09 19:51:43,128.0625878615,35.1731059592
W6F102,1,평거하우스토리,,W6F,경상남도,진주시,11EQUM,개별계량장비,AF,후불,평거하우스토리아파트,경상남도 진주시 진양호로239번길 13,"(평거동, 평거하우스토리아파트)",,4817012600,115,2016-10-09 19:51:43,,
W6F103,1,평거휴먼시아3단지,,W6F,경상남도,진주시,11EQUM,개별계량장비,AF,후불,평거휴먼시아3단지,경상남도 진주시 새평거로 111,"(평거동, 평거휴먼시아3단지)",,4817012600,588,2016-10-09 19:51:43,,
W6F120,1,신안현대아파트,,W6F,경상남도,진주시,11EQUM,개별계량장비,AF,후불,현대아파트,경상남도 진주시 천수로 315,"(신안동, 현대아파트)",,4817012500,694,2016-10-09 19:51:43,,
W6F140,1,이현하이클래스웰가,,W6F,경상남도,진주시,11EQUM,개별계량장비,AF,후불,이현하이클래스웰가아파트,경상남도 진주시 진주대로 1317,"(이현동, 이현하이클래스웰가아파트)",,4817012700,1268,2016-10-09 19:51:43,128.0557847013,35.1932723817
W6F160,1,판문엠코타운더프라하,,W6F,경상남도,진주시,11EQUM,개별계량장비,AF,후불,엠코타운더프라하,경상남도 진주시 새평거로 30,"(평거동, 엠코타운더프라하)",,4817012600,1813,2016-10-09 19:51:43,128.0546385402,35.1668487212
W6F161,1,평거휴먼시아4단지,,W6F,경상남도,진주시,11EQUM,개별계량장비,AF,후불,평거휴먼시아4단지,경상남도 진주시 새평거로 75,"(평거동, 평거휴먼시아4단지)",,4817012600,706,2016-10-09 19:51:43,128.0541409598,35.1679600954
W6F162,1,판문더퀸즈웰가,,W6F,경상남도,진주시,11EQUM,개별계량장비,AF,후불,더 퀸즈웰가,경상남도 진주시 새평거로 25,"(평거동, 더 퀸즈웰가)",,4817012600,1308,2016-10-09 19:51:43,,
W6F163,1,신안평거 한보타운,,W6F,경상남도,진주시,11EQUM,개별계량장비,AF,후불,한보타운,경상남도 진주시 진양호로97번길 19-6,"(평거동, 한보타운)",,4817012600,485,2016-10-09 19:51:43,,
W6F164,1,내동남강휴먼빌,,W6F,경상남도,진주시,11EQUM,개별계량장비,AF,후불,남강휴먼빌,경상남도 진주시 내동면 순환로 425-63,(진주 남강휴먼빌),,4817031021,916,2016-10-09 19:51:43,,
