aptCode,aptManage,aptName_x,aptMemo,cityCode_x,citySidoName,citySggName,equipCode,equipName,chargeCode,chargeName,aptName_y,roadAddr1,roadAddr2,cityCode_y,hbgvCode,ctznCnt,regDate,xlatlng,ylatlng
W6L000,0,거제시청,삭제엄금,W6L,경상남도,거제시,11EQUM,개별계량장비,AF,후불,,,,,,,,,
W6L001,1,양정 아이파크(BM),부민,W6L,경상남도,거제시,11EQUM,개별계량장비,AF,후불,양정 아이파크(BM),경상남도 거제시 양정5길 36,(양정동),,4831011300,996,2017-03-20 16:02:30,,
W6L002,1,거제신현SK뷰,(주)콘포테크,W6L,경상남도,거제시,11EQUM,개별계량장비,AF,후불,거제신현에스케이뷰,경상남도 거제시 상동1길 39,"(상동동, 거제신현에스케이뷰)",,4831011000,557,2017-03-29 14:27:13,128.6367341,34.8625952
W6L003,1,아주e편한세상1단지,(주)콘포테크,W6L,경상남도,거제시,11EQUM,개별계량장비,AF,후불,아주e편한세상1단지,경상남도 거제시 아주2로 138,"(아주동, 아주e편한세상1단지)",,4831010500,575,2017-03-29 14:27:58,128.6768021,34.8702009
W6L004,1,거제2차아이파크1단지,(주)솔루션아이티,W6L,경상남도,거제시,11EQUM,개별계량장비,AF,후불,거제2차 IPARK,경상남도 거제시 수양로 110,"(양정동, 거제2차 IPARK)",,4831011300,636,2020-04-14 15:56:06,128.6511065,34.8666314
W6L005,1,거제2차아이파크2단지,(주)솔루션아이티,W6L,경상남도,거제시,11EQUM,개별계량장비,AF,후불,거제2차 IPARK,경상남도 거제시 수양로 110,"(양정동, 거제2차 IPARK)",,4831011300,643,2020-04-14 15:54:15,128.6540104,34.866074
W6L006,1,(BM)거제자이,해명로52,W6L,경상남도,거제시,11EQUM,개별계량장비,AF,후불,거제자이,경상남도 거제시 해명로 52,"(수월동, 거제자이)",,4831011400,1196,2020-02-24 13:38:04,128.6433209,34.8924169
W6L007,1,(BM)거제수월힐스테이트,제산로 51,W6L,경상남도,거제시,11EQUM,개별계량장비,AF,후불,거제 수월 힐스테이트,경상남도 거제시 제산로 51,"(양정동, 거제 수월 힐스테이트)",,4831011300,715,2020-02-24 13:38:34,128.6414347,34.8896741
W6L008,1,(BM)거제오션파크자이,거제면 두동로259-90 ,W6L,경상남도,거제시,11EQUM,개별계량장비,AF,후불,(BM)거제오션파크자이,경상남도 거제시 거제면 두동로 259-90,(거제오션파크자이),,4831034025,783,2020-02-24 13:39:10,128.5925244,34.8813584
W6L009,1,거제장평포레나(BM),경상남도 거제시 장평동 337,W6L,경상남도,거제시,11EQUM,개별계량장비,AF,후불,거제장평포레나(BM),장평동 337,,,,817,2020-12-10 14:22:41,128.6077244,34.8918319
W6L00A,1,거제마린 푸르지오 1단지,,W6L,경상남도,거제시,11EQUM,개별계량장비,AF,후불,거제 마린 푸르지오 1단지,경상남도 거제시 용소1길 17-17,"(아주동, 거제 마린 푸르지오 1단지)",,4831010500,764,2021-04-01 10:35:28,128.6893313,34.8716938
W6L00B,1,거제 더샵 블루시티,,W6L,경상남도,거제시,11EQUM,개별계량장비,AF,후불,거제 더샵 블루시티,경상남도 거제시 상동5길 100,"(상동동, 거제 더샵 블루시티)",,4831011000,988,2021-04-01 10:35:55,128.6294734,34.8633623
W6L00C,1,덕산아내2차,,W6L,경상남도,거제시,11EQUM,개별계량장비,AF,후불,덕산 아내 2차,경상남도 거제시 장평2로2길 10,"(장평동, 덕산 아내 2차)",,4831010800,360,2021-04-01 10:36:23,128.6079404,34.8880199
W6L00D,1,옥포 e편한세상,,W6L,경상남도,거제시,11EQUM,개별계량장비,AF,후불,e편한세상 옥포아파트 1단지,경상남도 거제시 성산로 33,"(옥포동, e편한세상 옥포아파트 1단지)",,4831010600,798,2021-04-01 10:36:51,128.6956608,34.8991668
W6LFFF,999,해당없음,삭제엄금,W6L,경상남도,거제시,11EQUM,개별계량장비,AF,후불,,,,,,,,,
