aptCode,aptManage,aptName_x,aptMemo,cityCode_x,citySidoName,citySggName,equipCode,equipName,chargeCode,chargeName,aptName_y,roadAddr1,roadAddr2,cityCode_y,hbgvCode,ctznCnt,regDate,xlatlng,ylatlng
W6P000,0,창녕군청,삭제엄금,W6P,경상남도,창녕군,11EQUM,개별계량장비,AF,후불,,,,,,,,,
W6P001,1,현대1차아파트,,W6P,경상남도,창녕군,11EQUM,개별계량장비,AF,후불,현대1차아파트,경남 창녕군 창녕읍 우포2로 1199,,,4874025022,154,2016-10-09 19:51:43,,
W6P002,1,도원아파트,,W6P,경상남도,창녕군,11EQUM,개별계량장비,AF,후불,도원아파트,경남 창녕군 창녕읍 창밀로 12-8,,,4874025021,121,2016-10-09 19:51:43,,
W6P003,1,창녕이원파크빌아파트,,W6P,경상남도,창녕군,11EQUM,개별계량장비,AF,후불,창녕이원파크빌아파트,경남 창녕군 창녕읍 조산서재골로 17,,,4874025021,117,2016-10-09 19:51:43,,
W6P004,1,건우1차아파트,,W6P,경상남도,창녕군,11EQUM,개별계량장비,AF,후불,건우1차아파트,경남 창녕군 창녕읍 향교길 8,,,4874025022,111,2016-10-09 19:51:43,,
W6P005,1,현대2차아파트,,W6P,경상남도,창녕군,11EQUM,개별계량장비,AF,후불,현대2차아파트,경남 창녕군 창녕읍 문화공원길 23,,,4874025022,99,2016-10-09 19:51:43,,
W6P006,1,솔터아파트,,W6P,경상남도,창녕군,11EQUM,개별계량장비,AF,후불,솔터아파트,경남 창녕군 창녕읍 화왕산로 26-5,,,4874025021,93,2016-10-09 19:51:43,,
W6P007,1,일흥아파트,,W6P,경상남도,창녕군,11EQUM,개별계량장비,AF,후불,일흥아파트,경남 창녕군 창녕읍 창녕대로 107-1,,,4874025037,95,2016-10-09 19:51:43,,
W6P008,1,건우그린맨션,,W6P,경상남도,창녕군,11EQUM,개별계량장비,AF,후불,건우그린맨션,경남 창녕군 창녕읍 화왕산1로 88,,,4874025023,89,2016-10-09 19:51:43,,
W6P009,1,대한아파트,,W6P,경상남도,창녕군,11EQUM,개별계량장비,AF,후불,대한아파트,경남 창녕군 창녕읍 우포1대로 1551,,,4874025026,92,2016-10-09 19:51:43,,
W6P010,1,넥센타이어사원아파트,,W6P,경상남도,창녕군,11EQUM,개별계량장비,AF,후불,넥센타이어사원아파트,경남 창녕군 창녕읍 조산1길 23,,,4874025025,181,2016-10-09 19:51:43,,
W6P011,1,삼우아파트,,W6P,경상남도,창녕군,11EQUM,개별계량장비,AF,후불,삼우아파트,경남 창녕군 창녕읍 군청길 8-2,,,4874025022,125,2016-10-09 19:51:43,,
W6P012,1,홍남이브빌,,W6P,경상남도,창녕군,11EQUM,개별계량장비,AF,후불,홍남이브빌,경남 창녕군 창녕읍 낙영길 12,,,4874025023,69,2016-10-09 19:51:43,,
W6P013,1,삼진아파트,,W6P,경상남도,창녕군,11EQUM,개별계량장비,AF,후불,삼진아파트,경남 창녕군 창녕읍 군청길 1-14,,,4874025022,66,2016-10-09 19:51:43,,
W6P014,1,건우가든빌라,,W6P,경상남도,창녕군,11EQUM,개별계량장비,AF,후불,건우가든빌라,경남 창녕군 창녕읍 명덕로 110,,,4874025021,69,2016-10-09 19:51:43,,
W6P015,1,동아더프라임,,W6P,경상남도,창녕군,11EQUM,개별계량장비,AF,후불,동아더프라임,경남 창녕군 남지읍 남고길 47,,,4874025321,444,2016-10-09 19:51:43,,
W6P016,1,덕진7차봄아파트,,W6P,경상남도,창녕군,11EQUM,개별계량장비,AF,후불,덕진7차봄아파트,경남 창녕군 남지읍 남지중앙1길 10,,,4874025322,265,2016-10-09 19:51:43,,
W6P017,1,푸른마을아파트,,W6P,경상남도,창녕군,11EQUM,개별계량장비,AF,후불,푸른마을아파트,경남 창녕군 남지읍 동포로 46,,,4874025321,183,2016-10-09 19:51:43,,
W6P018,1,남지상록아파트,,W6P,경상남도,창녕군,11EQUM,개별계량장비,AF,후불,남지상록아파트,경남 창녕군 남지읍 문화길 13,,,4874025321,101,2016-10-09 19:51:43,,
W6P019,1,현대그린파크맨션,,W6P,경상남도,창녕군,11EQUM,개별계량장비,AF,후불,현대그린파크맨션,경남 창녕군 남지읍 낙동로 389,,,4874025322,68,2016-10-09 19:51:43,,
W6P020,1,동보아파트,,W6P,경상남도,창녕군,11EQUM,개별계량장비,AF,후불,동보아파트,경남 창녕군 남지읍 문화길 35-3,,,4874025321,75,2016-10-09 19:51:43,,
W6P021,1,혜성빌라,,W6P,경상남도,창녕군,11EQUM,개별계량장비,AF,후불,혜성빌라,경남 창녕군 영산면 성내뒷들길 29-1,,,4874038024,87,2016-10-09 19:51:43,,
W6P022,1,성동누리마을,,W6P,경상남도,창녕군,11EQUM,개별계량장비,AF,후불,성동누리마을,경남 창녕군 영산면 영산장마로 719,,,4874038021,105,2016-10-09 19:51:43,,
W6P023,1,삼호아파트,,W6P,경상남도,창녕군,11EQUM,개별계량장비,AF,후불,삼호아파트,경남 창녕군 도천면 영산도천로 54,,,4874040028,257,2016-10-09 19:51:43,,
W6P024,1,동보하이빌아파트,,W6P,경상남도,창녕군,11EQUM,개별계량장비,AF,후불,동보하이빌아파트,경남 창녕군 대지면 우포2로 1162,,,4874036025,150,2016-10-09 19:51:43,,
W6P025,1,동문아파트,,W6P,경상남도,창녕군,11EQUM,개별계량장비,AF,후불,동문아파트,경남 창녕군 부곡면 원동길 34,,,4874042021,82,2016-10-09 19:51:43,,
W6P026,1,jmk힐타운,교리 974,W6P,경상남도,창녕군,11EQUM,개별계량장비,BF,선불,jmk힐타운,경상남도 창녕군 창녕읍 갈전1길 26,(JMK힐타운),,4874025022,100,2016-10-09 19:51:43,128.4901645,35.5460345
W6P027,1,금호파크빌라,교리 981-4,W6P,경상남도,창녕군,11EQUM,개별계량장비,BF,선불,금호파크빌라,경상남도 창녕군 창녕읍 우포2로 1205,(금호파크빌라),,4874025022,50,2016-10-09 19:51:43,128.4882285,35.5443693
