aptCode,aptManage,aptName_x,aptMemo,cityCode_x,citySidoName,citySggName,equipCode,equipName,chargeCode,chargeName,aptName_y,roadAddr1,roadAddr2,cityCode_y,hbgvCode,ctznCnt,regDate,xlatlng,ylatlng
W6Z000,0,송파구청(없음),송파구청,W6Z,서울특별시,송파구,11EQUM,개별계량장비,AF,후불,,,,,,,,,
W6Z001,1,리센츠(크린),,W6Z,서울특별시,송파구,11EQUM,개별계량장비,AF,후불,리센츠,서울 송파구 올림픽로 135,,,1171010100,5564,2016-10-09 19:51:43,127.0849906679,37.5159251969
W6Z002,1,잠실엘스(크린),,W6Z,서울특별시,송파구,11EQUM,개별계량장비,AF,후불,잠실엘스,서울 송파구 올림픽로 99,,,1171010100,5680,2016-10-09 19:51:43,127.0781490505,37.5151348054
W6Z003,1,레이크팰리스(에코),,W6Z,서울특별시,송파구,11EQUM,개별계량장비,AF,후불,레이크팰리스,서울 송파구 잠실로 88,,,1171010100,2680,2016-10-09 19:51:43,127.0917215431,37.5079896563
W6Z004,1,잠실파크리오(평아),,W6Z,서울특별시,송파구,11EQUM,개별계량장비,AF,후불,잠실파크리오,서울 송파구 올림픽로 435,,,1171010200,6867,2016-10-09 19:51:43,127.1049684004,37.5213567836
W6Z005,1,잠실트리지움(에코),,W6Z,서울특별시,송파구,11EQUM,개별계량장비,AF,후불,잠실트리지움,서울 송파구 잠실로 62,,,1171010100,3699,2016-10-09 19:51:43,127.0866653807,37.5097747902
W6Z006,1,미성(평아),,W6Z,서울특별시,송파구,11EQUM,개별계량장비,AF,후불,미성,서울 송파구 올림픽로33길 17,,,1171010200,1231,2016-10-09 19:51:43,127.1062955998,37.5186030595
W6Z008,1,크로바(평아),,W6Z,서울특별시,송파구,11EQUM,개별계량장비,AF,후불,크로바,서울 송파구 올림픽로33길 1,,,1171010200,121,2016-10-09 19:51:43,127.1070431471,37.5163160985
W6Z009,1,"장미(1,2차)(평아)",,W6Z,서울특별시,송파구,11EQUM,개별계량장비,AF,후불,장미아파트,서울특별시 송파구 올림픽로35길 104,"(신천동, 장미아파트)",,1171010200,3403,2016-10-09 19:51:43,127.0986442,37.5190012
W6Z00A,1,잠실주공5단지(에코),,W6Z,서울특별시,송파구,11EQUM,개별계량장비,AF,후불,잠실주공5단지,서울 송파구 송파대로 567,,,1171010100,3931,2016-10-09 19:51:43,127.0916158136,37.5170118922
W6Z00B,1,아시아선수촌(초록),,W6Z,서울특별시,송파구,11EQUM,개별계량장비,AF,후불,아시아선수촌,서울 송파구 올림픽로4길 15,,,1171010100,1357,2016-10-09 19:51:43,127.0746863312,37.5091734224
W6Z00C,1,"우성1,2,3차(초록)",,W6Z,서울특별시,송파구,11EQUM,개별계량장비,AF,후불,"우성1,2,3차",서울 송파구 올림픽로4길 42,,,1171010100,1843,2016-10-09 19:51:43,127.0715928394,37.5079904768
W6Z00D,1,우성4차(에코),,W6Z,서울특별시,송파구,11EQUM,개별계량장비,AF,후불,우성4차,서울 송파구 백제고분로18길 30,,,1171010100,556,2016-10-09 19:51:43,127.0824037677,37.5029455234
W6Z00E,1,잠실현대(에코),,W6Z,서울특별시,송파구,11EQUM,개별계량장비,AF,후불,현대아파트,서울특별시 송파구 백제고분로18길 7,"(잠실동, 현대아파트)",,1171010100,338,2016-10-09 19:51:43,127.0853495,37.504029
W6Z00F,1,장미3차(평아),,W6Z,서울특별시,송파구,11EQUM,개별계량장비,AF,후불,장미3차,서울 송파구 올림픽로35길 94,,,1171010200,121,2016-10-09 19:51:43,127.1031856977,37.5182140817
W6Z010,1,문정건영(BM)(원창),,W6Z,서울특별시,송파구,11EQUM,개별계량장비,AF,후불,문정건영,서울 송파구 새말로8길 12,,,1171064600,548,2016-10-09 19:51:43,127.1253863191,37.4823222547
W6Z011,1,파인타운 2단지(BM)(오투),00101307 경로당,W6Z,서울특별시,송파구,11EQUM,개별계량장비,AF,후불,파인타운 2단지,서울 송파구 충민로 151,,,1171064600,375,2016-10-09 19:51:43,127.1303693577,37.4833384636
W6Z012,1,파인타운 4단지(BM)(오투),,W6Z,서울특별시,송파구,11EQUM,개별계량장비,AF,후불,파인타운 4단지,서울 송파구 새말로12길 16,,,1171064600,183,2016-10-09 19:51:43,127.1293240049,37.4820101829
W6Z013,1,파인타운 10단지(BM)(오투),,W6Z,서울특별시,송파구,11EQUM,개별계량장비,AF,후불,파인타운 10단지,서울 송파구 송파대로8길 20,,,1171064600,547,2016-10-09 19:51:43,127.1296973166,37.4774143928
W6Z014,1,파인타운 1단지(BM)(오투),,W6Z,서울특별시,송파구,11EQUM,개별계량장비,AF,후불,파인타운 1단지,서울 송파구 충민로 188,,,1171064600,223,2016-10-09 19:51:43,127.1341873509,37.4867034211
W6Z015,1,파인타운 3단지(BM)(오투),,W6Z,서울특별시,송파구,11EQUM,개별계량장비,AF,후불,파인타운 3단지,서울 송파구 충민로 152,,,1171064600,627,2016-10-09 19:51:43,127.1319081932,37.4832260904
W6Z016,1,파인타운 6단지(BM)(오투),,W6Z,서울특별시,송파구,11EQUM,개별계량장비,AF,후불,파인타운 6단지,서울 송파구 충민로6길 14,,,1171064600,566,2016-10-09 19:51:43,127.1314229187,37.4807007568
W6Z017,1,송파파크데일1단지(BM)(방산),,W6Z,서울특별시,송파구,11EQUM,개별계량장비,AF,후불,송파파크데일1단지,서울 송파구 성내천로37길 37,,,1171011400,815,2016-10-09 19:51:43,127.1580324695,37.498970295
W6Z018,1,금호어울림1차(BM)(방산),,W6Z,서울특별시,송파구,11EQUM,개별계량장비,AF,후불,금호어울림1차,서울 송파구 성내천로 245,,,1171011400,216,2016-10-09 19:51:43,127.1545178243,37.4981488423
