citySidoName,citySggName,2020_total_ingu,2020_man_ingu,2020_woman_ingu,2019_total_ingu,2019_man_ingu,2019_woman_ingu,2018_total_ingu,2018_man_ingu,2018_woman_ingu
서울특별시,종로구,149384,72635,76749,151290,73746,77544,153065,74825,78240
서울특별시,중구,125240,61222,64018,126171,61910,64261,125725,61947,63778
서울특별시,용산구,230040,110722,119318,228670,110356,118314,228999,110640,118359
서울특별시,성동구,293556,143387,150169,300889,147273,153616,308221,151359,156862
서울특별시,광진구,346682,167310,179372,351350,170262,181088,355559,172794,182765
서울특별시,동대문구,342837,169769,173068,346194,172113,174081,348052,173567,174485
서울특별시,중랑구,394702,195165,199537,397015,196959,200056,403209,200419,202790
서울특별시,성북구,437153,210810,226343,442650,214437,228213,435868,211904,223964
서울특별시,강북구,308055,150143,157912,313954,153235,160719,319164,156071,163093
서울특별시,도봉구,325257,158620,166637,333362,163051,170311,339413,166160,173253
서울특별시,노원구,523037,252383,270654,532905,257923,274982,543752,263919,279833
서울특별시,은평구,479835,230279,249556,480032,231528,248504,483197,233702,249495
서울특별시,서대문구,312173,149360,162813,309397,148663,160734,310313,149569,160744
서울특별시,마포구,371890,175150,196740,374035,176891,197144,375077,178240,196837
서울특별시,양천구,454251,222824,231427,458165,225186,232979,464185,228634,235551
서울특별시,강서구,580185,280034,300151,591796,286563,305233,596949,290079,306870
서울특별시,구로구,404408,199673,204735,406664,200987,205677,404497,200417,204080
서울특별시,금천구,231733,117226,114507,232810,118209,114601,233917,118915,115002
서울특별시,영등포구,379480,187647,191833,367678,182438,185240,367778,183224,184554
서울특별시,동작구,391220,189152,202068,395963,191976,203987,396203,192533,203670
서울특별시,관악구,495060,248339,246721,500094,251009,249085,501957,252160,249797
서울특별시,서초구,425126,203359,221767,430826,206039,224787,433951,207868,226083
서울특별시,강남구,539231,257999,281232,545169,260806,284363,542364,259611,282753
서울특별시,송파구,667960,322299,345661,675961,327164,348797,666635,323526,343109
서울특별시,강동구,459970,226216,233754,436067,215335,220732,427573,211816,215757
부산광역시,중구,41523,20282,21241,41910,20557,21353,42795,20992,21803
부산광역시,서구,108135,52341,55794,108229,52627,55602,110534,53978,56556
부산광역시,동구,88901,43509,45392,88165,43327,44838,86912,42830,44082
부산광역시,영도구,113342,55846,57496,116711,57629,59082,120109,59429,60680
부산광역시,부산진구,359886,173920,185966,357880,173446,184434,362357,176316,186041
부산광역시,동래구,270745,131735,139010,271247,132295,138952,266515,130338,136177
부산광역시,남구,267731,131037,136694,274480,134519,139961,279917,137437,142480
부산광역시,북구,283952,140527,143425,291132,144229,146903,296952,147233,149719
부산광역시,해운대구,402169,193618,208551,406102,195960,210142,409347,197871,211476
부산광역시,사하구,311757,155228,156529,321004,160101,160903,327791,163766,164025
부산광역시,금정구,232666,113595,119071,239062,117070,121992,242956,119261,123695
부산광역시,강서구,137957,71245,66712,129566,66982,62584,122957,63491,59466
