disYear,disMonth,disDate,disDay,disQuantity,disQuantityRate,disCount,disCountRate
2018,01,01,2,2242948246,3.86,971016,3.58
2018,01,02,3,2217982665,3.82,952341,3.51
2018,01,03,4,1929085528,3.32,881966,3.25
2018,01,04,5,1824358300,3.14,884153,3.26
2018,01,05,6,1798384700,3.09,851643,3.14
2018,01,06,7,1765196020,3.04,844065,3.11
2018,01,07,1,2045408658,3.52,1012482,3.73
2018,01,08,2,2187286959,3.76,941917,3.47
2018,01,09,3,1963909649,3.38,906981,3.34
2018,01,10,4,1757939868,3.02,843481,3.11
2018,01,11,5,1619872088,2.79,798503,2.94
2018,01,12,6,1659908150,2.86,788597,2.91
2018,01,13,7,1809049530,3.11,843670,3.11
2018,01,14,1,2078521098,3.58,1009257,3.72
2018,01,15,2,2323752090,4.0,983392,3.62
2018,01,16,3,1792425160,3.08,813861,3.0
2018,01,17,4,1913274997,3.29,913965,3.37
2018,01,18,5,1816166659,3.12,889141,3.28
2018,01,19,6,1808821169,3.11,862864,3.18
2018,01,20,7,1735370699,2.99,831033,3.06
2018,01,21,1,2021415659,3.48,1007770,3.71
2018,01,22,2,2183629409,3.76,943030,3.48
2018,01,23,3,1651224380,2.84,773975,2.85
2018,01,24,4,1509589589,2.6,748380,2.76
2018,01,25,5,1552626140,2.67,774728,2.86
2018,01,26,6,1562640878,2.69,742145,2.74
2018,01,27,7,1691402909,2.91,799829,2.95
2018,01,28,1,1991084045,3.43,964184,3.55
2018,01,29,2,2078551109,3.58,877482,3.23
2018,01,30,3,1805419519,3.11,821975,3.03
2018,01,31,4,1791153209,3.08,855059,3.15
2018,02,01,5,1705158898,3.09,832046,3.3
2018,02,02,6,1706641848,3.1,817619,3.24
2018,02,03,7,1587860138,2.88,753500,2.99
2018,02,04,1,1849028716,3.35,918005,3.64
2018,02,05,2,1990638549,3.61,867477,3.44
2018,02,06,3,1680260619,3.05,783318,3.1
2018,02,07,4,1706721629,3.1,828272,3.28
2018,02,08,5,1724681215,3.13,837341,3.32
2018,02,09,6,1752608278,3.18,809547,3.21
2018,02,10,7,1868699310,3.39,845943,3.35
2018,02,11,1,2055728775,3.73,977970,3.88
2018,02,12,2,2235819879,4.06,934090,3.7
