disYear,disMonth,disDay,disDayCount,disQuantity,dayAverQuantity,disCount,dayAverCount
2018,01,1,4,8136429460,2034107365,3993693,998423
2018,01,2,5,11016167813,2203233562,4716837,943367
2018,01,3,5,9430961373,1886192274,4269133,853826
2018,01,4,5,8901043191,1780208638,4242851,848570
2018,01,5,4,6813023187,1703255796,3346525,836631
2018,01,6,4,6829754897,1707438724,3245249,811312
2018,01,7,4,7001019158,1750254789,3318597,829649
2018,02,1,4,7947337219,1986834304,3780470,945117
2018,02,2,4,8938403225,2234600806,3775971,943992
2018,02,3,4,7760329744,1940082436,3529488,882372
2018,02,4,4,7815751034,1953937758,3649477,912369
2018,02,5,4,8378284632,2094571158,3956443,989110
2018,02,6,4,6956233823,1739058455,3269344,817336
2018,02,7,4,7319638296,1829909574,3272177,818044
2018,03,1,4,8278472286,2069618071,4199263,1049815
2018,03,2,4,8672939484,2168234871,3851017,962754
2018,03,3,4,7641516827,1910379206,3708973,927243
2018,03,4,4,7055537014,1763884253,3562884,890721
2018,03,5,5,8963991483,1792798296,4524988,904997
2018,03,6,5,9123784034,1824756806,4495248,899049
2018,03,7,5,9073354083,1814670816,4465737,893147
2018,04,1,5,10002750160,2000550032,5391403,1078280
2018,04,2,5,10666634799,2133326959,5048046,1009609
2018,04,3,4,7621988645,1905497161,3911321,977830
2018,04,4,4,7194137512,1798534378,3828341,957085
2018,04,5,4,6713402867,1678350716,3659848,914962
2018,04,6,4,6904377592,1726094398,3669657,917414
2018,04,7,4,6694454835,1673613708,3470884,867721
2018,05,1,4,8162789214,2040697303,4517563,1129390
2018,05,2,4,9324131368,2331032842,4602206,1150551
2018,05,3,5,9778140471,1955628094,5250851,1050170
2018,05,4,5,9546364041,1909272808,5137409,1027481
2018,05,5,5,9232328293,1846465658,5161205,1032241
2018,05,6,4,7539164081,1884791020,4105898,1026474
2018,05,7,4,7121802753,1780450688,3845154,961288
2018,06,1,4,9620895646,2405223911,5388501,1347125
2018,06,2,4,10003302581,2500825645,5113747,1278436
2018,06,3,4,7932839949,1983209987,4341624,1085406
2018,06,4,4,8922953313,2230738328,5078275,1269568
2018,06,5,4,8291472653,2072868163,4711173,1177793
2018,06,6,5,10375567030,2075113406,5830109,1166021
2018,06,7,5,10519331588,2103866317,5797556,1159511
2018,07,1,5,12546633578,2509326715,7028943,1405788
2018,07,2,5,13439902205,2687980441,6914836,1382967
2018,07,3,5,12185862109,2437172421,6793707,1358741
2018,07,4,4,9567595279,2391898819,5506371,1376592
2018,07,5,4,9068341703,2267085425,5333798,1333449
2018,07,6,4,9132555413,2283138853,5204782,1301195
2018,07,7,4,9415255850,2353813962,5242348,1310587
2018,08,1,4,8882224157,2220556039,5438766,1359691
2018,08,2,4,9573328901,2393332225,5294498,1323624
2018,08,3,4,8214699996,2053674999,4935231,1233807
2018,08,4,5,10609555266,2121911053,6477883,1295576
2018,08,5,5,10324629056,2064925811,6401540,1280308
2018,08,6,5,10097185624,2019437124,6094959,1218991
2018,08,7,4,8149230412,2037307603,4906772,1226693
2018,09,1,5,12022804844,2404560968,7312482,1462496
2018,09,2,4,8735922961,2183980740,4971289,1242822
2018,09,3,4,8427939219,2106984804,4900303,1225075
2018,09,4,4,8517179960,2129294990,5054901,1263725
2018,09,5,4,7891152203,1972788050,4833857,1208464
2018,09,6,4,8038353874,2009588468,4808623,1202155
2018,09,7,5,10801469872,2160293974,6403482,1280696
2018,10,1,4,8841378008,2210344502,5198702,1299675
2018,10,2,5,11488324635,2297664927,6085495,1217099
2018,10,3,5,10034026323,2006805264,5720452,1144090
2018,10,4,5,9978578587,1995715717,5825454,1165090
2018,10,5,4,7610705319,1902676329,4533406,1133351
2018,10,6,4,7051218400,1762804600,4049820,1012455
2018,10,7,4,7443828875,1860957218,4225234,1056308
2018,11,1,4,10137322081,2534330520,5068340,1267085
2018,11,2,4,10607383252,2651845813,4850308,1212577
2018,11,3,4,9092018234,2273004558,4436346,1109086
2018,11,4,4,8650141443,2162535360,4374990,1093747
2018,11,5,5,10090156071,2018031214,5188156,1037631
2018,11,6,5,11181984494,2236396898,5555869,1111173
2018,11,7,4,8808582363,2202145590,4266254,1066563
2018,12,1,5,11880344226,2376068845,5780099,1156019
2018,12,2,5,12097815980,2419563196,5425760,1085152
2018,12,3,4,8653286690,2163321672,4146498,1036624
2018,12,4,4,8335648786,2083912196,4112896,1028224
2018,12,5,4,7575343441,1893835860,3816198,954049
2018,12,6,4,7460847912,1865211978,3686092,921523
2018,12,7,5,10370011491,2074002298,4860993,972198
